"","society_id","lat","long","hc7.cluster"
"1","Aa1",-20,21,1
"2","Aa2",0,36,1
"3","Aa3",-26,18,2
"4","Aa4",-22,16,1
"5","Aa5",2,28,3
"6","Aa6",-5,36,4
"7","Aa7",-20,24,1
"8","Aa8",-30,23,1
"9","Aa9",-3,35,1
"10","Ab1",-21,16,2
"11","Ab10",-31,30,4
"12","Ab11",-32.89,27.91,4
"13","Ab12",-29,31,4
"14","Ab13",-24,27,4
"15","Ab14",-24,31,4
"16","Ab15",-25,30,4
"17","Ab16",-25,34,4
"18","Ab17",-20,34,5
"19","Ab18",-19,31,4
"20","Ab19",-17,16,4
"21","Ab2",-27,32,4
"22","Ab20",-15,15,4
"23","Ab21a",-10,14,4
"24","Ab21b",-32,28,4
"25","Ab22",-24.76,34.47,4
"26","Ab3",-15,23,4
"27","Ab4",-24,32,4
"28","Ab5",-12,16,4
"29","Ab6",-23,30,4
"30","Ab7",-15,14,4
"31","Ab8",-29,28,4
"32","Ab9",-20,28,4
"33","Ac1",-16,27,4
"34","Ac10",-14,33,4
"35","Ac11",-12,22,5
"36","Ac12",-10,21,4
"37","Ac13",-12,34,5
"38","Ac14",-7,15,4
"39","Ac15",-5,18,5
"40","Ac16",-1,12,4
"41","Ac17",-6,18,4
"42","Ac18",-5,14,4
"43","Ac19",-3,15,4
"44","Ac2",-6,20,4
"45","Ac20",-7,17,4
"46","Ac21",-5,19,4
"47","Ac22",-4,20,4
"48","Ac23",-5,21,4
"49","Ac24",-3,18,5
"50","Ac25",-5,18,4
"51","Ac26",-4,18,6
"52","Ac27",-13,23,4
"53","Ac28",-12,18,5
"54","Ac29",-7,19,4
"55","Ac3",-11,31,4
"56","Ac30",-18,28,4
"57","Ac31",-7,28,4
"58","Ac32",-13,26,6
"59","Ac33",-15,31,5
"60","Ac34",-10,29,5
"61","Ac35",-10,28,5
"62","Ac36",-12,34,4
"63","Ac37",-15,32,4
"64","Ac38",-16,36,5
"65","Ac39",-13,35,5
"66","Ac4",-5,22,5
"67","Ac40",-18,35,4
"68","Ac41",-11,40,4
"69","Ac42",-15,39,4
"70","Ac43",9,32,4
"71","Ac5",-13,28,6
"72","Ac6",-11,26,4
"73","Ac7",-13,36,5
"74","Ac8",-5,13,6
"75","Ac9",-12,33,5
"76","Ad1",-2,41,5
"77","Ad10",-5,38,4
"78","Ad11",-9,36,4
"79","Ad12",-1,35,4
"80","Ad13",-3,30,4
"81","Ad14",-8,38,4
"82","Ad15",-10,32,4
"83","Ad16",-10,34,4
"84","Ad17",-8,33,4
"85","Ad18",-7,31,6
"86","Ad19",-8,31,5
"87","Ad2",2,32,4
"88","Ad20",-5,33,4
"89","Ad21",-7,31,5
"90","Ad22",-3,34,4
"91","Ad23",-8,34,2
"92","Ad24",-7,36,4
"93","Ad25",-5,36,4
"94","Ad26",-5,34,4
"95","Ad27",-7,39,4
"96","Ad28",-5.84,38.79,4
"97","Ad29",-6.07,39.43,5
"98","Ad3",-3,37,4
"99","Ad30",-4,39,5
"100","Ad31",-4,39,4
"101","Ad32",-3,40,4
"102","Ad33",-1,40,5
"103","Ad34",-2,38,4
"104","Ad35",0,35,4
"105","Ad36",-4,38,4
"106","Ad37",-4,39,4
"107","Ad38",-2,33,5
"108","Ad39",-3,36,4
"109","Ad4",-1,37,4
"110","Ad40",0,35,4
"111","Ad41",1,35,4
"112","Ad42",-1,32,5
"113","Ad43",-3,33,5
"114","Ad44",-1,30,5
"115","Ad45",0,31,4
"116","Ad46",1,33,5
"117","Ad47",-4,32,4
"118","Ad48",1,31,4
"119","Ad49",-3,31,4
"120","Ad5",-4,36,4
"121","Ad50",-6,37,4
"122","Ad51",-6,38,4
"123","Ad6",-9,34,4
"124","Ad7",1,32,4
"125","Ad8",-8,35,4
"126","Ad9",1,34,4
"127","Ae1",1,30,4
"128","Ae10",-2,30,4
"129","Ae11",-4,26,5
"130","Ae12",4,10,5
"131","Ae13",-2,29,4
"132","Ae14",-5,30,4
"133","Ae15",-2,28,4
"134","Ae16",-6,23,4
"135","Ae17",-3,28,6
"136","Ae18",-6,25,4
"137","Ae19",-11,28,4
"138","Ae2",4.22,9.27,4
"139","Ae20",-2,18,5
"140","Ae21",-3,23,6
"141","Ae22",-4,22,6
"142","Ae23",-1,23,5
"143","Ae24",1,22,4
"144","Ae25",-4,25,4
"145","Ae26",0,24,4
"146","Ae27",1,25,5
"147","Ae28",1,18,5
"148","Ae29",2,22,5
"149","Ae3",1,11,5
"150","Ae30",1,29,4
"151","Ae31",2,28,4
"152","Ae32",-1,27,6
"153","Ae33",1,27,4
"154","Ae34",1,30,4
"155","Ae35",0,28,4
"156","Ae36",1,23,4
"157","Ae37",3,23,5
"158","Ae38",2,21,4
"159","Ae39",2,20,6
"160","Ae4",0,20,5
"161","Ae40",3,14,4
"162","Ae41",1,14,4
"163","Ae42",3,11,5
"164","Ae43",2,16,4
"165","Ae44",3.54,8.72,4
"166","Ae45",10,9,4
"167","Ae46",-2,10,4
"168","Ae47",2,10,5
"169","Ae48",5,11,5
"170","Ae49",6,10,4
"171","Ae5",5,10,4
"172","Ae50",6,11,4
"173","Ae51",5,11,4
"174","Ae52",7,10,4
"175","Ae53",4,11,4
"176","Ae54",6,10,4
"177","Ae55",6,10,4
"178","Ae56",6,11,4
"179","Ae57",6,11,4
"180","Ae58",6,12,4
"181","Ae59",6,10,4
"182","Ae6",-8,26,6
"183","Ae7",3,25,4
"184","Ae8",-3,30,4
"185","Ae9",6,10,4
"186","Af1",7,2,4
"187","Af10",6,7,4
"188","Af11",11,-9,5
"189","Af12",7,-1,4
"190","Af13",8,7,5
"191","Af14",7.52,-12.69,5
"192","Af15",7,-9,4
"193","Af16",6,9,4
"194","Af17",6,9,4
"195","Af18",6,8,4
"196","Af19",5,8,5
"197","Af2",9,-10,4
"198","Af20",5,8,5
"199","Af21",4.37,6.58,5
"200","Af22",6,5,5
"201","Af23",6,8,5
"202","Af24",6,6,4
"203","Af25",5,6,5
"204","Af26",7,6,4
"205","Af27",8,8,5
"206","Af28",10,10,4
"207","Af29",7,8,4
"208","Af3",7,-2,5
"209","Af30",7,7,4
"210","Af31",18,8,4
"211","Af32",7,3,4
"212","Af33",8,5,5
"213","Af34",7,5,4
"214","Af35",6,0,4
"215","Af36",7,1,5
"216","Af37",7.22,0.46,4
"217","Af38",7.53,-2.15,4
"218","Af39",7,-4,4
"219","Af4",6,8,4
"220","Af40",5.27,-3.58,5
"221","Af41",6,-4,4
"222","Af42",6,-1,4
"223","Af43",6,0,5
"224","Af44",5.22,-4.42,7
"225","Af45",5.15,-5.25,5
"226","Af46",5,-7,4
"227","Af47",6,-8,4
"228","Af48",5,-9,5
"229","Af49",6,-9,5
"230","Af5",8,-11,5
