@relation R_data_frame

@attribute Agriculture_intensity numeric
@attribute Major_crop_type numeric
@attribute Settlement_pattern numeric
@attribute Political_complexity numeric
@attribute Plow_cultivation numeric
@attribute Animal_type {'Absence or near absence',Bovine,Camelids,Deer,Equine,Pigs,Sheep/goats}
@attribute Milking {'Absence or near absence','More than sporadically'}
@attribute Population_size numeric
@attribute Amphibian_richness numeric
@attribute Bird_richness numeric
@attribute Mammal_richness numeric
@attribute Plants_richness numeric
@attribute Annual_NPP_Var numeric
@attribute Monthly_mean_NPP numeric
@attribute NPP_Constancy numeric
@attribute NPP_Contingency numeric
@attribute NPP_Predictability numeric
@attribute Biome {'Boreal Forests/Taiga','Deserts & Xeric Shrublands','Flooded Grasslands & Savannas',Ice,'Inland Water',Mangroves,'Mediterranean Forests, Woodlands & Scrub','Montane Grasslands & Shrublands','Temperate Broadleaf & Mixed Forests','Temperate Conifer Forests','Temperate Grasslands, Savannas & Shrublands','Tropical & Subtropical Coniferous Forests','Tropical & Subtropical Dry Broadleaf Forests','Tropical & Subtropical Grasslands, Savannas & Shrublands','Tropical & Subtropical Moist Broadleaf Forests',Tundra}
@attribute Annual_Mean_Temp numeric
@attribute Annual_Precip_Var numeric
@attribute Annual_Temp_Var numeric
@attribute Monthly_Mean_Precip numeric
@attribute Precip_Constancy numeric
@attribute Precip_Contingency numeric
@attribute Precip_Predictability numeric
@attribute Temp_Constancy numeric
@attribute Temp_Contingency numeric
@attribute Temp_Predictability numeric
@attribute cluster {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}

@data
1,1,1,1,1,'Absence or near absence','Absence or near absence',3500,11.568121,205.051914,73,1090.39,0.411795,0.535641,0.288019,0.206219,0.494239,'Tropical & Subtropical Grasslands, Savannas & Shrublands',21.03515,11601735251,14.59862,87000.00141,0.202518,0.275561,0.478079,0.457627,0.206115,0.663742,1
1,1,1,1,1,'Absence or near absence','Absence or near absence',1100,26.973788,461.498214,173.527241,2127.01,0.335766,3.046227,0.23763,0.147729,0.385359,'Tropical & Subtropical Grasslands, Savannas & Shrublands',19.014197,3357364605,1.21209,50566.30196,0.439799,0.147196,0.586995,0.667196,0.09377,0.760966,2
1,1,1,2,1,Bovine,'More than sporadically',2500,3,136.157877,55.83966,1584.18,0.026518,0.118534,0.670066,0.096876,0.766942,'Deserts & Xeric Shrublands',20.435855,2158663295,20.629575,39669.85532,0.304052,0.159731,0.463784,0.427581,0.215104,0.642685,3
3,6,5,3,1,Bovine,'More than sporadically',29000,5,216.264422,70.000689,1231.55,0.106699,0.324179,0.506967,0.158032,0.664999,'Deserts & Xeric Shrublands',22.663076,3648138188,8.88231,42805.12609,0.194716,0.207159,0.401874,0.493361,0.15203,0.645391,2
1,1,1,1,1,'Absence or near absence','Absence or near absence',40000,39.463454,338.618605,159.912873,2038.18,1.597355,3.485918,0.063999,0.262293,0.326292,'Tropical & Subtropical Moist Broadleaf Forests',21.4178,9483286472,0.305852,243307.949,0.673789,0.114119,0.787908,0.769289,0.044588,0.813878,4
3,6,5,2,1,Bovine,'More than sporadically',23400,37.309521,344.772995,144.313419,2013.6,0.374146,1.683757,0.324724,0.20487,0.529595,'Tropical & Subtropical Grasslands, Savannas & Shrublands',18.117301,6993797182,4.335228,89122.08238,0.527295,0.188788,0.716083,0.567937,0.173622,0.741559,5
1,1,1,1,1,'Absence or near absence','Absence or near absence',300,16,283.385783,87.132175,1218.63,0.482223,0.615729,0.264501,0.234346,0.498847,'Tropical & Subtropical Grasslands, Savannas & Shrublands',21.936015,11170127777,14.877022,82529.79572,0.198675,0.27796,0.476635,0.463879,0.205376,0.669255,1
1,1,1,1,1,'Absence or near absence','Absence or near absence',8600,8.62182,170.169248,51.434455,1266.9,0.041759,0.28259,0.592712,0.096956,0.689668,'Deserts & Xeric Shrublands',15.603779,3614505849,26.68442,71156.45282,0.419281,0.151856,0.571137,0.404775,0.253292,0.658068,1
1,1,1,1,1,'Absence or near absence','Absence or near absence',600,34.965321,338.000878,149.836872,2330.6,0.449187,1.76418,0.316057,0.226619,0.542676,'Tropical & Subtropical Grasslands, Savannas & Shrublands',19.363644,10359816180,2.36135,85676.00215,0.422897,0.233505,0.656402,0.611326,0.128617,0.739943,1
1,1,1,1,1,Bovine,'More than sporadically',100000,8.08076,229.785276,75.338477,1172.23,0.180712,0.430595,0.435642,0.189923,0.625565,'Deserts & Xeric Shrublands',21.994719,4874838526,7.874921,52226.41738,0.190864,0.233472,0.424335,0.503781,0.149913,0.653694,3
5,6,5,3,2,Bovine,'More than sporadically',260000,26.286809,297.940135,70.967186,2352.44,0.662807,2.650697,0.245206,0.235469,0.480676,'Tropical & Subtropical Moist Broadleaf Forests',19.178955,6182236182,6.470539,128040.8127,0.536729,0.131083,0.667812,0.539291,0.214453,0.753744,6
3,5,5,4,2,Bovine,'More than sporadically',260000,17.272774,302.639288,97.311795,2284.87,1.217211,2.863111,0.172159,0.262714,0.434873,'Tropical & Subtropical Moist Broadleaf Forests',17.095622,3179657454,8.929143,96541.61735,0.574737,0.117061,0.691798,0.510697,0.22837,0.739067,6
3,6,5,4,1,Bovine,'More than sporadically',250000,34.611761,349.986674,92.355247,3088.15,0.821458,2.739165,0.221983,0.241138,0.463121,'Montane Grasslands & Shrublands',16.450289,11178307664,8.366461,165893.6429,0.52046,0.153835,0.674295,0.518984,0.218036,0.73702,6
3,6,8,3,1,Bovine,'More than sporadically',580000,22,295.079426,90.983813,1530.76,0.319443,0.893583,0.329641,0.186345,0.515986,'Tropical & Subtropical Grasslands, Savannas & Shrublands',18.423543,5544617497,14.38439,78320.73565,0.367457,0.195552,0.563009,0.473336,0.199788,0.673124,6
5,6,6,3,2,Bovine,'More than sporadically',40000,34.039262,371.416935,126.631083,2304.12,0.356249,1.334573,0.321282,0.179781,0.501063,'Tropical & Subtropical Grasslands, Savannas & Shrublands',17.619732,9388284713,10.472064,99002.3787,0.423215,0.187008,0.610224,0.498877,0.212051,0.710928,5
3,6,7,3,1,Bovine,'More than sporadically',100000,21,343.401407,108.523157,2429.31,1.036123,2.117336,0.240728,0.331389,0.572117,'Tropical & Subtropical Grasslands, Savannas & Shrublands',14.54028,6312434612,12.441451,92810.08738,0.442059,0.188058,0.630117,0.483198,0.227696,0.710895,6
3,6,6,2,1,Sheep/goats,'Absence or near absence',33000,28,297.931123,77.223718,3204.61,0.134517,2.030972,0.387273,0.131727,0.519,'Tropical & Subtropical Moist Broadleaf Forests',23.759179,6753176327,5.741556,86587.83452,0.456647,0.124375,0.581021,0.549728,0.201244,0.750972,5
3,6,7,1,1,Bovine,'Absence or near absence',100000,41.019852,311.418639,99.511646,1886.16,0.298262,1.818997,0.280981,0.156557,0.437538,'Tropical & Subtropical Grasslands, Savannas & Shrublands',23.365661,12061558229,9.191508,94587.40701,0.407829,0.18532,0.593149,0.515264,0.204216,0.71948,7
3,6,6,3,1,Bovine,'More than sporadically',700000,36,367.765934,119.169682,1425.76,0.55859,1.829193,0.266475,0.242708,0.509183,'Tropical & Subtropical Grasslands, Savannas & Shrublands',18.615445,9844635651,12.614249,80000.56697,0.368955,0.234466,0.603422,0.489421,0.206256,0.695677,5
