society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Aa1,!Kung,xd1,juho1239,South-Eastern Ju,Kxa,EA003,0,0-5%,1950,Nyai Nyae region,
Aa2,Dorobo,xd2,okie1245,Okiek,Nilotic,EA003,0,0-5%,1920,with special reference to Central Dorobo,
Aa5,Mbuti,xd5,bila1255,Bila,Atlantic-Congo,EA003,0,0-5%,1930,"Epulu net-hunters, Ituri forest",
Aa7,Naron,xd7,naro1249,Naro,Khoe-Kwadi,EA003,0,0-5%,1910,,
Aa9,Hadza,xd9,hadz1240,Hadza,,EA003,0,0-5%,1910,Hatsa Kindiga Tribe,
Ab1,Herero,xd10,here1253,Herero,Atlantic-Congo,EA003,0,0-5%,1900,,
Ab10,Pondo,xd11,mpon1252,Mpondo,Atlantic-Congo,EA003,0,0-5%,1936,,
Ab11,Xhosa,xd12,xesi1238,Xesibe,Atlantic-Congo,EA003,0,0-5%,1850,,
Ab12,Zulu,xd13,zulu1248,Zulu,Atlantic-Congo,EA003,0,0-5%,1830,,
Ab13,Tswana,xd14,tswa1253,Tswana,Atlantic-Congo,EA003,0,0-5%,1880,with special reference to the Kgatla (Bakxatla),
Ab14,Lovedu,xd15,lobe1242,Lobedu,Atlantic-Congo,EA003,0,0-5%,1930,,
Ab15,Pedi,xd16,tswe1238,Tswene,Atlantic-Congo,EA003,0,0-5%,1860,,
Ab2,Swazi,xd21,swat1243,Swati,Atlantic-Congo,EA003,0,0-5%,1880,,
Ab21a,Kisama,xd23,sama1300,Sama,Atlantic-Congo,EA003,0,0-5%,1930,,
Ab21b,Bomvana,xd24,bomv1238,Bomvana,Atlantic-Congo,EA003,0,0-5%,1925,,
Ab6,Venda,xd29,vend1245,Venda,Atlantic-Congo,EA003,0,0-5%,1900,,
Ab8,Sotho,xd31,sout2807,Southern Sotho,Atlantic-Congo,EA003,0,0-5%,1860,Basuto,
Ab9,Ndebele,xd32,nort2795,Zimbabwean Ndebele,Atlantic-Congo,EA003,0,0-5%,1870,,
Ac1,Ila,xd33,ilaa1246,Ila,Atlantic-Congo,EA003,0,0-5%,1920,,
Ac20,Yaka,xd45,yaka1269,Yaka-Pelende-Lonzo,Atlantic-Congo,EA003,0,0-5%,1920,,
Ac36,Tumbuka,xd62,tumb1250,Tumbuka,Atlantic-Congo,EA003,0,0-5%,1920,,
Ac41,Makonde,xd68,mako1251,Makonde,Atlantic-Congo,EA003,0,0-5%,1900,,
Ac43,Mambwe,xd70,mamb1296,Mambwe-Lungu,Atlantic-Congo,EA003,0,0-5%,1910,,
Ad10,Shambaa,xd77,sham1280,Shambala,Atlantic-Congo,EA003,0,0-5%,1910,,
Ad11,Bena,xd78,bena1262,Bena (Tanzania),Atlantic-Congo,EA003,0,0-5%,1930,,
Ad12,Gusii,xd79,gusi1247,Gusii,Atlantic-Congo,EA003,0,0-5%,1940,,
Ad13,Kiga,xd80,chig1238,Chiga,Atlantic-Congo,EA003,0,0-5%,1930,,
Ad15,Iwa,xd82,nyam1275,Nyamwanga,Atlantic-Congo,EA003,0,0-5%,1900,,
Ad20,Nyamwezi,xd88,nyam1276,Nyamwezi,Atlantic-Congo,EA003,0,0-5%,1920,,
Ad22,Sukuma,xd90,suku1261,Sukuma,Atlantic-Congo,EA003,0,0-5%,1950,,
Ad23,Sangu,xd91,sang1330,Sangu (Tanzania),Atlantic-Congo,EA003,0,0-5%,1910,,
Ad24,Gogo,xd92,gogo1263,Gogo,Atlantic-Congo,EA003,0,0-5%,1910,,
Ad25,Rangi,xd93,lang1320,Langi,Atlantic-Congo,EA003,0,0-5%,1900,,
Ad26,Turu,xd94,nyat1246,Nyaturu,Atlantic-Congo,EA003,0,0-5%,1910,,
Ad3,Chagga,xd98,moch1256,Mochi,Atlantic-Congo,EA003,0,0-5%,1910,,
Ad31,Duruma,xd100,duru1249,Duruma,Atlantic-Congo,EA003,0,0-5%,1910,,
Ad32,Giriama,xd101,giry1241,Giryama,Atlantic-Congo,EA003,0,0-5%,1900,,
Ad34,Kamba,xd103,kamb1297,Kamba (Kenya),Atlantic-Congo,EA003,0,0-5%,1910,,
Ad35,Meru,xd104,kiku1240,Kikuyu,Atlantic-Congo,EA003,0,0-5%,1940,"To be distinguished from the tribe of the same name on the southeast slope f Mt. Mero, who are a branch of the Chagga",
Ad36,Pare,xd105,asut1235,Asu (Tanzania),Atlantic-Congo,EA003,0,0-5%,1890,,
Ad37,Teita,xd106,tait1250,Taita,Atlantic-Congo,EA003,0,0-5%,1940,,
Ad39,Sonjo,xd108,temi1247,Temi,Atlantic-Congo,EA003,0,0-5%,1950,,
Ad4,Kikuyu,xd109,kiku1240,Kikuyu,Atlantic-Congo,EA003,0,0-5%,1930,Fort Hall or Metume district,
Ad40,Tiriki,xd110,idak1243,Idakho-Isukha-Tiriki,Atlantic-Congo,EA003,0,0-5%,1950,,
Ad41,Vugusu,xd111,buku1249,Bukusu,Atlantic-Congo,EA003,0,0-5%,1930,,
Ad45,Nyankole,xd115,nyan1307,Nyankole,Atlantic-Congo,EA003,0,0-5%,1920,,
Ad47,Sumbwa,xd117,sumb1240,Sumbwa,Atlantic-Congo,EA003,0,0-5%,1900,,
Ad5,Mbugwe,xd120,mbug1242,Mbugwe,Atlantic-Congo,EA003,0,0-5%,1940,,
Ad8,Hehe,xd125,hehe1240,Hehe,Atlantic-Congo,EA003,0,0-5%,1910,with special reference to the northern or Iringa group,
Ae10,Banyaruanda,xd128,kiny1244,Kinyarwanda,Atlantic-Congo,EA003,0,0-5%,1910,,
Ae16,Lulua,xd134,luba1249,Luba-Lulua,Atlantic-Congo,EA003,0,0-5%,1910,,
Ae21,Kela,xd140,yela1238,Yela-Kela,Atlantic-Congo,EA003,0,0-5%,1920,,
Ae30,Bira,xd150,bila1255,Bila,Atlantic-Congo,EA003,0,0-5%,1920,,
Ae31,Budu,xd151,budu1250,Budu,Atlantic-Congo,EA003,0,0-5%,1920,,
Ae32,Kumu,xd152,komo1260,Komo (Democratic Republic of Congo),Atlantic-Congo,EA003,0,0-5%,1920,,
Ae41,Kota,xd162,ndas1238,Ndasa,Atlantic-Congo,EA003,0,0-5%,1940,,
Ae5,Bamileke,xd171,fefe1239,Fe'fe',Atlantic-Congo,EA003,0,0-5%,1910,,
Ae51,Banen,xd173,tune1261,Tunen,Atlantic-Congo,EA003,0,0-5%,1940,Ndiki subtribe,
Ae52,Fungom,xd174,mmen1238,Mmen,Atlantic-Congo,EA003,0,0-5%,1950,,
Ae54,Kom,xd176,komc1235,Kom (Cameroon),Atlantic-Congo,EA003,0,0-5%,1950,,
Ae56,Nsaw,xd178,lamn1239,Lamnso',Atlantic-Congo,EA003,0,0-5%,1950,,
Ae57,Nsungli,xd179,limb1268,Limbum,Atlantic-Congo,EA003,0,0-5%,1930,,
Ae58,Tikar,xd180,tige1238,Tige,Atlantic-Congo,EA003,0,0-5%,1910,,
Ae9,Fut,xd185,bafu1246,Bafut,Atlantic-Congo,EA003,0,0-5%,1950,,
Af10,Igbo,xd187,nucl1417,Igbo,Atlantic-Congo,EA003,0,0-5%,1930,,
Af12,Akyem,xd189,akye1239,Akyem Bosome,Atlantic-Congo,EA003,0,0-5%,1930,with special reference to the Kwahu,
Af18,Ekoi,xd195,ejag1239,Ejagham,Atlantic-Congo,EA003,0,0-5%,1900,,
Af2,Kissi,xd197,nort2765,Northern Kissi,Atlantic-Congo,EA003,0,0-5%,1950,,
Af24,Edo,xd202,bini1246,Bini,Atlantic-Congo,EA003,0,0-5%,1900,,
Af28,Gbagyi,xd206,gbar1246,Gbari,Atlantic-Congo,EA003,0,0-5%,1910,,
Af31,Koro,xd210,ashe1269,Ashe,Atlantic-Congo,EA003,0,0-5%,1960,with special reference to the Lafia,
Af32,Egba,xd211,egba1238,Egba,Atlantic-Congo,EA003,0,0-5%,1920,Abeouta Province and Benin,
Af34,Ife,xd213,ifee1241,Ifè,Atlantic-Congo,EA003,0,0-5%,1930,"Ife Ilesha Division, Oyo Prov.",
Af35,Adangme,xd214,adan1247,Adangme,Atlantic-Congo,EA003,0,0-5%,1940,with special reference to the Krobo,
Af38,Abron,xd217,abro1238,Abron,Atlantic-Congo,EA003,0,0-5%,1900,,
Af39,Anyi,xd218,anyi1245,Anyin,Atlantic-Congo,EA003,0,0-5%,1900,with special reference to the Ndenie,
Af4,Yako,xd219,loka1252,Lokaa,Atlantic-Congo,EA003,0,0-5%,1930,,
Af41,Attie,xd221,atti1239,Attié,Atlantic-Congo,EA003,0,0-5%,1890,,
Af50,Dan,xd231,gwee1242,Gweetaawu,Mande,EA003,0,0-5%,1920,,
Af51,Gagu,xd232,gagu1242,Gban,Mande,EA003,0,0-5%,1920,,
Af53,Tura,xd234,tour1242,Toura (Côte d'Ivoire),Mande,EA003,0,0-5%,1950,,
Ag11,Lobi,xd246,lobi1245,Lobi,Atlantic-Congo,EA003,0,0-5%,1910,,
Ag13,Kasena,xd248,kase1253,Kasem,Atlantic-Congo,EA003,0,0-5%,1910,,
Ag2,Mossi (Yatenga),xd255,moss1236,Mossi,Atlantic-Congo,EA003,0,0-5%,1950,"with special reference to Massi (Moshi) of Yatenga; (for those of Ouagadougou, see Ag47)",
Ag21,Bassari,xd257,bass1258,Bassari-Tanda,Atlantic-Congo,EA003,0,0-5%,1910,,
Ag24,Koranko,xd260,kura1250,Kuranko,Mande,EA003,0,0-5%,1910,,
Ag25,Soninke,xd261,soni1259,Soninke,Mande,EA003,0,0-5%,1900,,
Ag27,Diula,xd263,dyul1238,Dyula,Mande,EA003,0,0-5%,1910,,But the economy is primarily mercantile
Ag29,Samo,xd265,sout2844,Southern Samo,Mande,EA003,0,0-5%,1910,,
Ag3,Dogon,xd266,bank1259,Bankan Tey Dogon,Dogon,EA003,0,0-5%,1930,,
Ag30,Bobo,xd267,nort2819,Northern Bobo Madaré,Mande,EA003,0,0-5%,1910,,
Ag31,Minianka,xd268,mama1271,Mamara Senoufo,Atlantic-Congo,EA003,0,0-5%,1910,,
Ag32,Senufo,xd269,ceba1235,Cebaara Senoufo,Atlantic-Congo,EA003,0,0-5%,1900,,
Ag33,Dyan,xd270,dyan1251,Dyan,Atlantic-Congo,EA003,0,0-5%,1920,,
Ag34,Dorosie,xd271,dogo1295,Dogosé,Atlantic-Congo,EA003,0,0-5%,1930,,
Ag35,Kulango,xd272,boun1243,Bouna Kulango,Atlantic-Congo,EA003,0,0-5%,1910,,
Ag36,Lowiili,xd273,sout2790,Southern Birifor,Atlantic-Congo,EA003,0,0-5%,1950,,
Ag38,Builsa,xd275,buli1254,Buli (Ghana),Atlantic-Congo,EA003,0,0-5%,1910,,
Ag39,Dagara,xd276,sout2789,Central Dagaare,Atlantic-Congo,EA003,0,0-5%,1910,,
Ag4,Tallensi,xd277,taln1239,Talni,Atlantic-Congo,EA003,0,0-5%,1930,Tallensi Tribe,
Ag41,Kusasi,xd279,kusa1250,Kusaal,Atlantic-Congo,EA003,0,0-5%,1920,,
Ag42,Nunuma,xd280,sout2795,Southern Nuni,Atlantic-Congo,EA003,0,0-5%,1910,,
Ag43,Vagala,xd281,vagl1239,Vagla,Atlantic-Congo,EA003,0,0-5%,1920,,
Ag44,Dagomba,xd282,dagb1246,Dagbani,Atlantic-Congo,EA003,0,0-5%,1910,,
Ag46,Manprusi,xd284,mamp1244,Mampruli,Atlantic-Congo,EA003,0,0-5%,1920,,
Ag47,Mossi (Ouagadougou),xd285,moss1236,Mossi,Atlantic-Congo,EA003,0,0-5%,1900,with special reference to those of Ouagadougou (see Ag2 for those of Yatenga),
Ag48,Basari,xd286,ntch1242,Ntcham,Atlantic-Congo,EA003,0,0-5%,1890,,
Ag50,Moba,xd289,moba1244,Moba,Atlantic-Congo,EA003,0,0-5%,1910,,
Ag51,Somba,xd290,dita1238,Ditammari,Atlantic-Congo,EA003,0,0-5%,1940,,
Ag52,Tem,xd291,temm1241,Tem,Atlantic-Congo,EA003,0,0-5%,1950,,
Ag53,Bisa,xd292,biss1248,Bissa,Mande,EA003,0,0-5%,1960,with special reference to those of Garango,
Ag54,Yalunka,xd293,yalu1240,Yalunka,Mande,EA003,0,0-5%,1910,,
Ag6,Futajalonke,xd294,pula1262,Pular,Atlantic-Congo,EA003,0,0-5%,1890,,
Ag8,Coniagui,xd296,wame1240,Wamey,Atlantic-Congo,EA003,0,0-5%,1910,with special reference to the Coniagui,
Ah10,Chawai,xd299,atsa1241,Atsam,Atlantic-Congo,EA003,0,0-5%,1920,,
Ah13,Dakakari,xd302,clel1238,C'lela,Atlantic-Congo,EA003,0,0-5%,1930,with special reference to the Liliwa,
Ah16,Angas,xd305,ngas1240,Ngas,Afro-Asiatic,EA003,0,0-5%,1900,,
Ah17,Birom,xd306,bero1242,Berom,Atlantic-Congo,EA003,0,0-5%,1930,,
Ah18,Burmawa,xd307,bogh1241,Boghom,Afro-Asiatic,EA003,0,0-5%,1930,,
Ah19,Adara,xd308,kada1284,Kadara,Atlantic-Congo,EA003,0,0-5%,1930,,
Ah20,Kagoro,xd310,kago1246,Kagoro (Nigeria),Atlantic-Congo,EA003,0,0-5%,1920,,
Ah21,Kurama,xd311,kura1249,Kurama,Atlantic-Congo,EA003,0,0-5%,1920,,
Ah22,Yergum,xd312,taro1263,Tarok,Atlantic-Congo,EA003,0,0-5%,1900,,
Ah24,Kentu,xd314,etky1238,Etkywan,Atlantic-Congo,EA003,0,0-5%,1920,,
Ah25,Tigon,xd315,tigo1236,Tigon Mbembe,Atlantic-Congo,EA003,0,0-5%,1920,,
Ah27,Zuande,xd317,bita1251,Bitare,Atlantic-Congo,EA003,0,0-5%,1920,,
Ah29,Daka,xd319,samb1311,Samba Daka,Atlantic-Congo,EA003,0,0-5%,1920,,
Ah30,Longuda,xd321,long1389,Longuda,Atlantic-Congo,EA003,0,0-5%,1920,,
Ah31,Mumuye,xd322,nucl1240,Mumuye,Atlantic-Congo,EA003,0,0-5%,1910,,
