society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Cd11,Guanche,xd509,guan1277,Guanche,Afro-Asiatic,AnnualPrecipitationVariance,20461835.43,,,,
Cd18,Saadi,xd516,said1239,Saidi Arabic,Afro-Asiatic,AnnualPrecipitationVariance,24749550.32,,,,
Cc3,Siwans,xd500,siwi1239,Siwi,Afro-Asiatic,AnnualPrecipitationVariance,25565527.46,,,,
Cd6,Ancient Egyptians,xd524,egyp1246,Egyptian (Ancient),Afro-Asiatic,AnnualPrecipitationVariance,27701443.79,,,,
Cc17,Delim,xd495,hass1238,Hassaniyya,Afro-Asiatic,AnnualPrecipitationVariance,32676111.79,,,,
Cd9,Tekna,xd527,hass1238,Hassaniyya,Afro-Asiatic,AnnualPrecipitationVariance,35413658.59,,,,
Cd13,Hamama,xd511,sout3114,South-Western Tunisian,Afro-Asiatic,AnnualPrecipitationVariance,41520312.71,,,,
Cc1,Regeibat,xd487,hass1238,Hassaniyya,Afro-Asiatic,AnnualPrecipitationVariance,42836264.4,,,,
Cd12,Algerians,xd510,algi1247,Algiers,Afro-Asiatic,AnnualPrecipitationVariance,47173954.61,,,,
Ea6,Basseri,xd605,bass1257,Basseri,Indo-European,AnnualPrecipitationVariance,50121596.64,,,,
Cd20,Sanusi,xd519,liby1240,Libyan Arabic,Afro-Asiatic,AnnualPrecipitationVariance,54055399.39,,,,
Cd2,Egyptians,xd518,egyp1253,Egyptian Arabic,Afro-Asiatic,AnnualPrecipitationVariance,61013724.41,,,,
SCCS43,Egyptians,xd518,egyp1253,Egyptian Arabic,Afro-Asiatic,AnnualPrecipitationVariance,61013724.41,,,,
Cd5,Shluh,xd523,susi1238,Susiua,Afro-Asiatic,AnnualPrecipitationVariance,67987837.29,,,,
Cc16,Chaambra,xd494,algi1247,Algiers,Afro-Asiatic,AnnualPrecipitationVariance,69011621.6,,,,
Cd1,Barabra,xd507,kenu1236,Kenuzi-Dongola,Nubian,AnnualPrecipitationVariance,99943100.38,,,,
Cc4,Mzab,xd501,tumz1238,Tumzabt,Afro-Asiatic,AnnualPrecipitationVariance,106188098.1,,,,
Ca34,Ababda,xd442,abab1239,Ababda,Afro-Asiatic,AnnualPrecipitationVariance,107365001.9,,,,
Cc19,Trarza,xd497,hass1238,Hassaniyya,Afro-Asiatic,AnnualPrecipitationVariance,107725746.9,,,,
Cc11,Azjer,xd489,ghat1242,Ghat,Afro-Asiatic,AnnualPrecipitationVariance,108085795.5,,,,
Eb5,Turkmen,xd613,turk1304,Turkmen,Turkic,AnnualPrecipitationVariance,111552358.6,,,,
Ci11,Kurd,xd576,cent1972,Central Kurdish,Indo-European,AnnualPrecipitationVariance,117877643.6,,,,
B378,Inuvialuit,xd1019,sigl1242,Siglitun,Eskimo-Aleut,AnnualPrecipitationVariance,127129848.8,,,,
Cc2,Teda,xd498,teda1241,Tedaga,Saharan,AnnualPrecipitationVariance,135962270.3,,,,
Cc7,Barabish,xd504,hass1238,Hassaniyya,Afro-Asiatic,AnnualPrecipitationVariance,137337328.8,,,,
SCCS40,Teda,xd498,teda1241,Tedaga,Saharan,AnnualPrecipitationVariance,156975916.6,,,,
Cj4,Babylonians,xd590,akka1240,Akkadian,Afro-Asiatic,AnnualPrecipitationVariance,161982635.0,,,,
B358,Délįne,xd1033,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,AnnualPrecipitationVariance,162176211.4,,,,
B352,Hare,xd1009,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,AnnualPrecipitationVariance,169158559.1,,,,
SCCS45,Babylonians,xd590,akka1240,Akkadian,Afro-Asiatic,AnnualPrecipitationVariance,171992937.7,,,,
Na16,Délįne,xd1033,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,AnnualPrecipitationVariance,178893363.1,,,,
Cb2,Wolof,xd469,nucl1347,Wolof,Atlantic-Congo,AnnualPrecipitationVariance,179498199.5,,,,
SCCS44,Hebrews,xd589,anci1244,Ancient Hebrew,Afro-Asiatic,AnnualPrecipitationVariance,181511367.8,,,,
Cj10,Madan,xd587,meso1252,Gilit Mesopotamian Arabic,Afro-Asiatic,AnnualPrecipitationVariance,182711138.6,,,,
SCCS124,Copper Inuit,xd1022,copp1244,Inuinnaqtun,Eskimo-Aleut,AnnualPrecipitationVariance,183123376.7,,,,
Eb8,Uzbek,xd616,nort2690,Northern Uzbek,Turkic,AnnualPrecipitationVariance,183432198.5,,,,
Cc15,Drawa,xd493,susi1238,Susiua,Afro-Asiatic,AnnualPrecipitationVariance,184707578.4,,,,
SCCS39,Barabra,xd507,kenu1236,Kenuzi-Dongola,Nubian,AnnualPrecipitationVariance,185140467.4,,,,
Cc9,Tuareg Ahaggar,xd506,hogg1238,Hoggar,Afro-Asiatic,AnnualPrecipitationVariance,187574058.8,,,,
Cc20,Zenaga,xd499,zena1248,Zenaga,Afro-Asiatic,AnnualPrecipitationVariance,188197150.4,,,,
B381,Copper Inuit,xd1022,copp1244,Inuinnaqtun,Eskimo-Aleut,AnnualPrecipitationVariance,189673333.2,,,,
B361,Tlicho,xd1032,dogr1252,Dogrib,Athabaskan-Eyak-Tlingit,AnnualPrecipitationVariance,190710955.0,,,,
Na15,Tlicho,xd1032,dogr1252,Dogrib,Athabaskan-Eyak-Tlingit,AnnualPrecipitationVariance,191686001.7,,,,
SCCS46,Rwala,xd588,east2690,Eastern Egyptian Bedawi Arabic,Afro-Asiatic,AnnualPrecipitationVariance,193864144.7,,,,
Na3,Copper Inuit,xd1022,copp1244,Inuinnaqtun,Eskimo-Aleut,AnnualPrecipitationVariance,197660238.0,,,,
Cj5,Mutair,xd591,sout3119,South Najdi,Afro-Asiatic,AnnualPrecipitationVariance,198963137.9,,,,
B345,DeneTha,xd1034,sout2959,South Slavey,Athabaskan-Eyak-Tlingit,AnnualPrecipitationVariance,201103748.2,,,,
Cd17,Nail,xd515,cons1245,Constantine,Afro-Asiatic,AnnualPrecipitationVariance,202341330.3,,,,
SCCS41,Tuareg Ahaggar,xd506,hogg1238,Hoggar,Afro-Asiatic,AnnualPrecipitationVariance,203070726.3,,,,
Cc12,Ifora,xd490,tadh1242,Tadhaq,Afro-Asiatic,AnnualPrecipitationVariance,214558831.5,,,,
Na43,Netsilik,xd1060,nets1241,Natsilingmiutut,Eskimo-Aleut,AnnualPrecipitationVariance,217144570.0,,,,
Cc18,Kunta,xd496,hass1238,Hassaniyya,Afro-Asiatic,AnnualPrecipitationVariance,218471591.1,,,,
Na17,DeneTha,xd1034,sout2959,South Slavey,Athabaskan-Eyak-Tlingit,AnnualPrecipitationVariance,223982960.3,,,,
Ca5,Bisharin,xd453,bish1251,Bisharin,Afro-Asiatic,AnnualPrecipitationVariance,224768532.0,,,,
B27,Nganasan,xd620,ngan1291,Nganasan,Uralic,AnnualPrecipitationVariance,232034592.9,,,,
B26,Yukaghir,xd634,nort2745,Northern Yukaghir,Yukaghir,AnnualPrecipitationVariance,237711744.4,,,,
Ec6,Yukaghir,xd634,nort2745,Northern Yukaghir,Yukaghir,AnnualPrecipitationVariance,237711744.4,,,,
Ca35,Amarar,xd443,amar1281,Amara (Beja),Afro-Asiatic,AnnualPrecipitationVariance,246583576.3,,,,
B387,Netsilik,xd1060,nets1241,Natsilingmiutut,Eskimo-Aleut,AnnualPrecipitationVariance,256030694.4,,,,
ec12,Nganasan,xd620,ngan1291,Nganasan,Uralic,AnnualPrecipitationVariance,258252665.9,,,,
Na20,Kutchin,xd1037,gwic1235,Gwich'in,Athabaskan-Eyak-Tlingit,AnnualPrecipitationVariance,261035188.1,,,,
Cj6,Jordanians,xd592,sout3123,South Levantine Arabic,Afro-Asiatic,AnnualPrecipitationVariance,262941598.0,,,,
SCCS128,DeneTha,xd1034,sout2959,South Slavey,Athabaskan-Eyak-Tlingit,AnnualPrecipitationVariance,263255952.1,,,,
Ec2,Yakut,xd628,yaku1245,Sakha,Turkic,AnnualPrecipitationVariance,275799172.6,,,,
B356,Kutchin,xd1037,gwic1235,Gwich'in,Athabaskan-Eyak-Tlingit,AnnualPrecipitationVariance,276282917.3,,,,
B344,Beaver,xd1045,beav1236,Beaver,Athabaskan-Eyak-Tlingit,AnnualPrecipitationVariance,278836600.2,,,,
Cd16,Moroccans,xd514,sout3117,Southern Morocco Arabic,Afro-Asiatic,AnnualPrecipitationVariance,284788169.0,,,,
Cc6,Kababish,xd503,nort3133,North Kordofan Arabic,Afro-Asiatic,AnnualPrecipitationVariance,287963313.9,,,,
B382,Utkuhikhalingmiut,xd1023,nets1241,Natsilingmiutut,Eskimo-Aleut,AnnualPrecipitationVariance,290571381.5,,,,
Eb1,Kazakh,xd609,kaza1248,Kazakh,Turkic,AnnualPrecipitationVariance,293776214.2,,,,
Cd19,Sahel,xd517,sahi1245,Sahil,Afro-Asiatic,AnnualPrecipitationVariance,295976194.2,,,,
