society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
SCCS85,Iban,xd750,iban1264,Iban,Austronesian,AnnualTemperatureVariance,0.064788564,,,,
Ie6,Waropen,xd820,waro1242,Waropen,Austronesian,AnnualTemperatureVariance,0.065015345,,,,
If11,Kosraeans,xd826,kosr1238,Kosraean,Austronesian,AnnualTemperatureVariance,0.070766568,,,,
B1,Punan,xd1442,west2563,Western Penan,Austronesian,AnnualTemperatureVariance,0.073044432,,,,
Ib1,Iban,xd750,iban1264,Iban,Austronesian,AnnualTemperatureVariance,0.074922259,,,,
Ib9,Punan,xd758,puna1275,Punan Bah-Biau,Austronesian,AnnualTemperatureVariance,0.075088729,,,,
SCCS88,Tobelorese,xd760,tobe1252,Tobelo,North Halmahera,AnnualTemperatureVariance,0.075992462,,,,
Ie4,Wogeo,xd818,woge1237,Wogeo,Austronesian,AnnualTemperatureVariance,0.076329207,,,,
If10,Nomoians,xd825,mort1237,Mortlockese,Austronesian,AnnualTemperatureVariance,0.076656314,,,,
If4,Ifaluk,xd835,nucl1479,Nuclear Woleaian,Austronesian,AnnualTemperatureVariance,0.077509677,,,,
If16,Lamotrek,xd831,lamo1243,Lamotrek,Austronesian,AnnualTemperatureVariance,0.08060383,,,,
If5,Ponapeans,xd836,pohn1238,Pohnpeian,Austronesian,AnnualTemperatureVariance,0.082576761,,,,
Ie33,Soromadja,xd811,nucl1595,Kwerba,Greater Kwerba,AnnualTemperatureVariance,0.082721058,,,,
If17,Marshallese,xd832,rata1243,Ratak,Austronesian,AnnualTemperatureVariance,0.082967644,,,,
SCCS108,Marshallese,xd832,rata1243,Ratak,Austronesian,AnnualTemperatureVariance,0.082967644,,,,
If1,Palauans,xd824,pala1344,Palauan,Austronesian,AnnualTemperatureVariance,0.084875101,,,,
SCCS111,Palauans,xd824,pala1344,Palauan,Austronesian,AnnualTemperatureVariance,0.084875101,,,,
Ia17,Bilaan,xd740,koro1310,Koronadal Blaan,Austronesian,AnnualTemperatureVariance,0.08505121,,,,
Ii4,Ellice,xd883,tuva1244,Tuvalu,Austronesian,AnnualTemperatureVariance,0.085952237,,,,
If2,Trukese,xd833,chuu1238,Chuukese,Austronesian,AnnualTemperatureVariance,0.086232883,,,,
SCCS109,Trukese,xd833,chuu1238,Chuukese,Austronesian,AnnualTemperatureVariance,0.086232883,,,,
Ic10,Tobelorese,xd760,tobe1252,Tobelo,North Halmahera,AnnualTemperatureVariance,0.08877982,,,,
Ig13,Aua,xd845,wuvu1239,Wuvulu-Aua,Austronesian,AnnualTemperatureVariance,0.098746044,,,,
Ib8,Anak Dalam,xd757,kubu1239,Kubu,Austronesian,AnnualTemperatureVariance,0.099776654,,,,
Ii7,Kapingamarangi,xd886,kapi1249,Kapingamarangi,Austronesian,AnnualTemperatureVariance,0.09979771,,,,
If3,Majuro,xd834,rata1243,Ratak,Austronesian,AnnualTemperatureVariance,0.103008682,,,,
Ie34,Bgu,xd812,bong1287,Bonggo,Austronesian,AnnualTemperatureVariance,0.104786839,,,,
Ie29,Manam,xd806,mana1295,Manam,Austronesian,AnnualTemperatureVariance,0.108220914,,,,
Ii6,Tokelau,xd885,toke1240,Tokelau,Austronesian,AnnualTemperatureVariance,0.108238873,,,,
Ij10,Tongarevans,xd890,penr1237,Māngarongaro,Austronesian,AnnualTemperatureVariance,0.114793202,,,,
Ii5,Ontong Java,xd884,onto1237,Luangiua,Austronesian,AnnualTemperatureVariance,0.127796606,,,,
