society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Ea1,Sindhi,xd596,sind1272,Sindhi,Indo-European,PrecipitationConstancy,0.137032312,,,,
SCCS39,Barabra,xd507,kenu1236,Kenuzi-Dongola,Nubian,PrecipitationConstancy,0.141266009,,,,
Cc11,Azjer,xd489,ghat1242,Ghat,Afro-Asiatic,PrecipitationConstancy,0.15434665,,,,
SCCS41,Tuareg Ahaggar,xd506,hogg1238,Hoggar,Afro-Asiatic,PrecipitationConstancy,0.157786542,,,,
Cj9,Yemeni,xd595,sana1295,Sanaani Arabic,Afro-Asiatic,PrecipitationConstancy,0.158494833,,,,
Ag15,Balanta,xd250,bala1301,Balanta-Kentohe,Atlantic-Congo,PrecipitationConstancy,0.158517619,,,,
Ag16,Banyun,xd251,bain1259,Bainounk-Gujaher,Atlantic-Congo,PrecipitationConstancy,0.158517619,,,,
Ag20,Papel,xd256,pape1239,Papel,Atlantic-Congo,PrecipitationConstancy,0.158517619,,,,
Cc9,Tuareg Ahaggar,xd506,hogg1238,Hoggar,Afro-Asiatic,PrecipitationConstancy,0.160253272,,,,
Ag18,Bijogo,xd253,bidy1244,Kangaki-Kagbaaga-Kajoko Bidyogo,Atlantic-Congo,PrecipitationConstancy,0.160638413,,,,
SCCS40,Teda,xd498,teda1241,Tedaga,Saharan,PrecipitationConstancy,0.163957168,,,,
Cc2,Teda,xd498,teda1241,Tedaga,Saharan,PrecipitationConstancy,0.1660607,,,,
Cj5,Mutair,xd591,sout3119,South Najdi,Afro-Asiatic,PrecipitationConstancy,0.168560964,,,,
Ef5,Bhil,xd667,bhil1251,Bhili,Indo-European,PrecipitationConstancy,0.169685954,,,,
Ca34,Ababda,xd442,abab1239,Ababda,Afro-Asiatic,PrecipitationConstancy,0.171263808,,,,
Ag17,Biafada,xd252,biaf1240,Biafada,Atlantic-Congo,PrecipitationConstancy,0.176067612,,,,
Ab19,Ambo,xd20,ndon1254,Ndonga,Atlantic-Congo,PrecipitationConstancy,0.177936408,,,,
Ea10,Marri,xd597,east2304,Eastern Balochi,Indo-European,PrecipitationConstancy,0.179785349,,,,
Ea12,Qashqui,xd599,qash1240,Qashqa'i,Turkic,PrecipitationConstancy,0.180571141,,,,
SCCS58,Basseri,xd605,bass1257,Basseri,Indo-European,PrecipitationConstancy,0.182254501,,,,
B68,Hai//om,xd930,haio1238,Hai//om,Khoe-Kwadi,PrecipitationConstancy,0.183382482,,,,
Cd1,Barabra,xd507,kenu1236,Kenuzi-Dongola,Nubian,PrecipitationConstancy,0.185893668,,,,
Ci11,Kurd,xd576,cent1972,Central Kurdish,Indo-European,PrecipitationConstancy,0.186233192,,,,
B104,Karajarri,xd953,kara1476,Karadjeri,Pama-Nyungan,PrecipitationConstancy,0.189161008,,,,
B71,Sekele,xd931,vase1234,Northern Ju,Kxa,PrecipitationConstancy,0.189553144,,,,
Nc27,Kawaiisu,xd1126,kawa1283,Kawaiisu,Uto-Aztecan,PrecipitationConstancy,0.18981181,,,,
WNAI81,Tongva,xd1128,tong1329,Tongva,Uto-Aztecan,PrecipitationConstancy,0.18981181,,,,
WNAI84,Serrano,xd1130,serr1255,Serrano,Uto-Aztecan,PrecipitationConstancy,0.189996553,,,,
Ab1,Herero,xd10,here1253,Herero,Atlantic-Congo,PrecipitationConstancy,0.19086375,,,,
Ab7,Nyaneka,xd30,nyan1305,Nyaneka,Atlantic-Congo,PrecipitationConstancy,0.191670509,,,,
Cj4,Babylonians,xd590,akka1240,Akkadian,Afro-Asiatic,PrecipitationConstancy,0.192539484,,,,
SCCS2,!Kung,xd1,juho1239,South-Eastern Ju,Kxa,PrecipitationConstancy,0.193980909,,,,
Cj10,Madan,xd587,meso1252,Gilit Mesopotamian Arabic,Afro-Asiatic,PrecipitationConstancy,0.194498278,,,,
Aa4,Bergdama,xd4,dama1270,Damara,Khoe-Kwadi,PrecipitationConstancy,0.194715686,,,,
Ab20,Ngumbi,xd22,nkhu1238,Nkhumbi,Atlantic-Congo,PrecipitationConstancy,0.19538891,,,,
WNAI79,Kawaiisu,xd1126,kawa1283,Kawaiisu,Uto-Aztecan,PrecipitationConstancy,0.196264123,,,,
Cb11,Midobi,xd460,mido1240,Midob,Nubian,PrecipitationConstancy,0.197246849,,,,
Ca5,Bisharin,xd453,bish1251,Bisharin,Afro-Asiatic,PrecipitationConstancy,0.1976287,,,,
B149,Serrano,xd1130,serr1255,Serrano,Uto-Aztecan,PrecipitationConstancy,0.197715347,,,,
WNAI135,Chemehuevi,xd1190,chem1251,Chemehuevi,Uto-Aztecan,PrecipitationConstancy,0.19803081,,,,
B199,Kawaiisu,xd1126,kawa1283,Kawaiisu,Uto-Aztecan,PrecipitationConstancy,0.19812044,,,,
Aa7,Naron,xd7,naro1249,Naro,Khoe-Kwadi,PrecipitationConstancy,0.198675452,,,,
B67,Hukwe,xd929,kxoe1243,Kxoe,Khoe-Kwadi,PrecipitationConstancy,0.198731994,,,,
Ef3,Indo-Iranian,xd665,sans1269,Sanskrit,Indo-European,PrecipitationConstancy,0.199332963,,,,
Cc1,Regeibat,xd487,hass1238,Hassaniyya,Afro-Asiatic,PrecipitationConstancy,0.201820743,,,,
SCCS4,Lozi,xd26,lozi1239,Lozi,Atlantic-Congo,PrecipitationConstancy,0.202212417,,,,
Ag19,Diola,xd254,ejam1238,Ejamat,Atlantic-Congo,PrecipitationConstancy,0.202357787,,,,
Aa1,!Kung,xd1,juho1239,South-Eastern Ju,Kxa,PrecipitationConstancy,0.202518052,,,,
B72,!Kung,xd1,juho1239,South-Eastern Ju,Kxa,PrecipitationConstancy,0.202518052,,,,
Cb2,Wolof,xd469,nucl1347,Wolof,Atlantic-Congo,PrecipitationConstancy,0.202537039,,,,
WNAI75,Wukchumni,xd1124,tule1245,Tule-Kaweah Yokuts,Yokutsan,PrecipitationConstancy,0.203164816,,,,
WNAI77,Southern Valley Yokuts (Yauelmani),xd1123,vall1251,Valley Yokuts,Yokutsan,PrecipitationConstancy,0.203495383,,,,
Cd13,Hamama,xd511,sout3114,South-Western Tunisian,Afro-Asiatic,PrecipitationConstancy,0.204545191,,,,
Ea13,Punjabi,xd600,west2386,Western Panjabi,Indo-European,PrecipitationConstancy,0.205617674,,,,
SCCS45,Babylonians,xd590,akka1240,Akkadian,Afro-Asiatic,PrecipitationConstancy,0.206839437,,,,
Cc6,Kababish,xd503,nort3133,North Kordofan Arabic,Afro-Asiatic,PrecipitationConstancy,0.207140534,,,,
Nc30,Serrano,xd1130,serr1255,Serrano,Uto-Aztecan,PrecipitationConstancy,0.207143383,,,,
WNAI86,Cahuilla (Pass),xd1439,cahu1264,Cahuilla,Uto-Aztecan,PrecipitationConstancy,0.207143383,,,,
Nc25,Wukchumni,xd1124,tule1245,Tule-Kaweah Yokuts,Yokutsan,PrecipitationConstancy,0.207228958,,,,
B106,Kariyarra,xd780,kari1304,Kariyarra,Pama-Nyungan,PrecipitationConstancy,0.209792601,,,,
