society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
B53,Alacaluf,xd1387,qawa1238,Qawasqar,Kawesqar,PrecipitationContingency,0.012669365,,,,
Sg5,Alacaluf,xd1387,qawa1238,Qawasqar,Kawesqar,PrecipitationContingency,0.014296221,,,,
B55,Yahgan,xd1383,yama1264,Yámana,,PrecipitationContingency,0.018088728,,,,
Sg1,Yahgan,xd1383,yama1264,Yámana,,PrecipitationContingency,0.018088728,,,,
Ij7,Mangarevans,xd896,mang1401,Mangareva,Austronesian,PrecipitationContingency,0.019557447,,,,
Ie6,Waropen,xd820,waro1242,Waropen,Austronesian,PrecipitationContingency,0.019652566,,,,
SCCS186,Yahgan,xd1383,yama1264,Yámana,,PrecipitationContingency,0.019671738,,,,
Ie33,Soromadja,xd811,nucl1595,Kwerba,Greater Kwerba,PrecipitationContingency,0.020359994,,,,
ec13,Itelmen,xd621,itel1242,Itelmen,Chukotko-Kamchatkan,PrecipitationContingency,0.0207573,,,,
ch18,Ingrians,xd555,ingr1248,Ingrian,Uralic,PrecipitationContingency,0.021170298,,,,
ch28,Votes,xd566,voti1245,Votic,Uralic,PrecipitationContingency,0.021170298,,,,
ch27,Veps,xd565,veps1250,Veps,Uralic,PrecipitationContingency,0.021677359,,,,
ch13,Besermyan,xd550,nort2676,North Udmurt,Uralic,PrecipitationContingency,0.021710648,,,,
ch14,Chuvash,xd551,chuv1255,Chuvash,Turkic,PrecipitationContingency,0.022743554,,,,
ch26,Udmurt,xd564,sout2681,South Udmurt,Uralic,PrecipitationContingency,0.022743554,,,,
Ch6,Byelorussians,xd570,bela1254,Belarusian,Indo-European,PrecipitationContingency,0.023729927,,,,
Ig4,Lesu,xd856,nots1237,Notsi,Austronesian,PrecipitationContingency,0.024608907,,,,
Ch9,Lithuanians,xd573,lith1251,Lithuanian,Indo-European,PrecipitationContingency,0.025599162,,,,
ch23,Lithuanian Tatar,xd561,west2405,Western Tatar,Turkic,PrecipitationContingency,0.025599162,,,,
ch19,Karelians,xd556,livv1243,Livvi,Uralic,PrecipitationContingency,0.025900892,,,,
Ii4,Ellice,xd883,tuva1244,Tuvalu,Austronesian,PrecipitationContingency,0.026556178,,,,
B346,Kaska,xd1056,kask1239,Kaska,Athabaskan-Eyak-Tlingit,PrecipitationContingency,0.027521807,,,,
Ig21,Tangu,xd854,tang1355,Tanggu,Lower Sepik-Ramu,PrecipitationContingency,0.027643124,,,,
Na24,Tasiilaq,xd1040,tunu1234,Tunumiisiut,Eskimo-Aleut,PrecipitationContingency,0.027774574,,,,
Sg3,Ona,xd1385,onaa1245,Selk'nam,Chonan,PrecipitationContingency,0.027965527,,,,
ch22,Lithuanian Karaim,xd560,kara1464,Karaim,Turkic,PrecipitationContingency,0.028078152,,,,
B388,Tasiilaq,xd1040,tunu1234,Tunumiisiut,Eskimo-Aleut,PrecipitationContingency,0.028263226,,,,
SCCS97,Lesu,xd856,nots1237,Notsi,Austronesian,PrecipitationContingency,0.029494151,,,,
B1,Punan,xd1442,west2563,Western Penan,Austronesian,PrecipitationContingency,0.029945484,,,,
B343,Sekani,xd1044,seka1250,Sekani,Athabaskan-Eyak-Tlingit,PrecipitationContingency,0.030042791,,,,
ch15,Erzya Mordvins,xd552,erzy1239,Erzya,Uralic,PrecipitationContingency,0.030108265,,,,
Ib9,Punan,xd758,puna1275,Punan Bah-Biau,Austronesian,PrecipitationContingency,0.030142865,,,,
Ce4,French Basques,xd531,labo1236,Labourdin,Basque,PrecipitationContingency,0.030561482,,,,
B329,Mi'kmaq,xd1058,mikm1235,Mi'kmaq,Algic,PrecipitationContingency,0.030706877,,,,
Na41,Mi'kmaq,xd1058,mikm1235,Mi'kmaq,Algic,PrecipitationContingency,0.030706877,,,,
SCCS126,Mi'kmaq,xd1058,mikm1235,Mi'kmaq,Algic,PrecipitationContingency,0.030706877,,,,
Ij2,Māori,xd891,maor1246,Maori,Austronesian,PrecipitationContingency,0.031240625,,,,
ch20,Kazan tatar,xd558,midd1325,Middle Tatar,Turkic,PrecipitationContingency,0.032197062,,,,
Ig10,Usiai,xd842,lele1270,Lele (Papua New Guinea),Austronesian,PrecipitationContingency,0.032464395,,,,
Ig9,Manus,xd861,tita1241,Titan,Austronesian,PrecipitationContingency,0.032464395,,,,
SCCS96,Manus,xd861,tita1241,Titan,Austronesian,PrecipitationContingency,0.032464395,,,,
Ch11,Russians,xd548,russ1263,Russian,Indo-European,PrecipitationContingency,0.032689551,,,,
SCCS54,Russians,xd548,russ1263,Russian,Indo-European,PrecipitationContingency,0.032689551,,,,
SCCS85,Iban,xd750,iban1264,Iban,Austronesian,PrecipitationContingency,0.032997958,,,,
ch12,Bashkir,xd549,bash1264,Bashkir,Turkic,PrecipitationContingency,0.033205559,,,,
B135,Kurnai,xd979,gana1278,Ganai,Pama-Nyungan,PrecipitationContingency,0.03344131,,,,
Ig13,Aua,xd845,wuvu1239,Wuvulu-Aua,Austronesian,PrecipitationContingency,0.033855563,,,,
Ed7,Okinawans,xd650,cent2126,Central Okinawan,Japonic,PrecipitationContingency,0.033856442,,,,
B134,Bunurong,xd978,woiw1237,Woiwurrung,Pama-Nyungan,PrecipitationContingency,0.034028559,,,,
Ce8,Spanish Basques,xd535,west1508,Western Low Navarrese,Basque,PrecipitationContingency,0.034455077,,,,
B54,Ona,xd1385,onaa1245,Selk'nam,Chonan,PrecipitationContingency,0.034582954,,,,
SCCS88,Tobelorese,xd760,tobe1252,Tobelo,North Halmahera,PrecipitationContingency,0.034746575,,,,
Ii6,Tokelau,xd885,toke1240,Tokelau,Austronesian,PrecipitationContingency,0.034803175,,,,
Ic10,Tobelorese,xd760,tobe1252,Tobelo,North Halmahera,PrecipitationContingency,0.03481314,,,,
Ie34,Bgu,xd812,bong1287,Bonggo,Austronesian,PrecipitationContingency,0.035691133,,,,
Ii5,Ontong Java,xd884,onto1237,Luangiua,Austronesian,PrecipitationContingency,0.035848315,,,,
ch21,Latvians,xd559,latv1249,Latvian,Indo-European,PrecipitationContingency,0.036265521,,,,
Ij6,Hawaiians,xd895,hawa1245,Hawaiian,Austronesian,PrecipitationContingency,0.036672118,,,,
B133,Tjapwurong,xd977,djab1234,Djabwurrung,Pama-Nyungan,PrecipitationContingency,0.036675416,,,,
ch17,Gagauz,xd554,gaga1249,Gagauz,Turkic,PrecipitationContingency,0.036757051,,,,
B345,DeneTha,xd1034,sout2959,South Slavey,Athabaskan-Eyak-Tlingit,PrecipitationContingency,0.03686579,,,,
ec12,Nganasan,xd620,ngan1291,Nganasan,Uralic,PrecipitationContingency,0.037048533,,,,
Na17,DeneTha,xd1034,sout2959,South Slavey,Athabaskan-Eyak-Tlingit,PrecipitationContingency,0.037189184,,,,
