society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
SCCS39,Barabra,xd507,kenu1236,Kenuzi-Dongola,Nubian,PrecipitationPredictability,0.249339973,,,,
SCCS41,Tuareg Ahaggar,xd506,hogg1238,Hoggar,Afro-Asiatic,PrecipitationPredictability,0.27951869,,,,
Cc9,Tuareg Ahaggar,xd506,hogg1238,Hoggar,Afro-Asiatic,PrecipitationPredictability,0.281079539,,,,
Cj5,Mutair,xd591,sout3119,South Najdi,Afro-Asiatic,PrecipitationPredictability,0.282681281,,,,
Cc11,Azjer,xd489,ghat1242,Ghat,Afro-Asiatic,PrecipitationPredictability,0.285669872,,,,
SCCS58,Basseri,xd605,bass1257,Basseri,Indo-European,PrecipitationPredictability,0.290920612,,,,
Cd12,Algerians,xd510,algi1247,Algiers,Afro-Asiatic,PrecipitationPredictability,0.296486515,,,,
Ca34,Ababda,xd442,abab1239,Ababda,Afro-Asiatic,PrecipitationPredictability,0.299661619,,,,
Ea12,Qashqui,xd599,qash1240,Qashqa'i,Turkic,PrecipitationPredictability,0.301642151,,,,
Cd5,Shluh,xd523,susi1238,Susiua,Afro-Asiatic,PrecipitationPredictability,0.302800717,,,,
SCCS40,Teda,xd498,teda1241,Tedaga,Saharan,PrecipitationPredictability,0.303939394,,,,
Cc2,Teda,xd498,teda1241,Tedaga,Saharan,PrecipitationPredictability,0.306466499,,,,
Cd1,Barabra,xd507,kenu1236,Kenuzi-Dongola,Nubian,PrecipitationPredictability,0.306559345,,,,
Cd13,Hamama,xd511,sout3114,South-Western Tunisian,Afro-Asiatic,PrecipitationPredictability,0.306825477,,,,
Cj10,Madan,xd587,meso1252,Gilit Mesopotamian Arabic,Afro-Asiatic,PrecipitationPredictability,0.316101734,,,,
Cj4,Babylonians,xd590,akka1240,Akkadian,Afro-Asiatic,PrecipitationPredictability,0.323648028,,,,
Ci11,Kurd,xd576,cent1972,Central Kurdish,Indo-European,PrecipitationPredictability,0.327886576,,,,
WNAI135,Chemehuevi,xd1190,chem1251,Chemehuevi,Uto-Aztecan,PrecipitationPredictability,0.329326522,,,,
Ea10,Marri,xd597,east2304,Eastern Balochi,Indo-European,PrecipitationPredictability,0.338191657,,,,
WNAI84,Serrano,xd1130,serr1255,Serrano,Uto-Aztecan,PrecipitationPredictability,0.338744858,,,,
Cc1,Regeibat,xd487,hass1238,Hassaniyya,Afro-Asiatic,PrecipitationPredictability,0.342185536,,,,
Cc16,Chaambra,xd494,algi1247,Algiers,Afro-Asiatic,PrecipitationPredictability,0.343308368,,,,
B149,Serrano,xd1130,serr1255,Serrano,Uto-Aztecan,PrecipitationPredictability,0.346282463,,,,
SCCS45,Babylonians,xd590,akka1240,Akkadian,Afro-Asiatic,PrecipitationPredictability,0.347395525,,,,
Ca5,Bisharin,xd453,bish1251,Bisharin,Afro-Asiatic,PrecipitationPredictability,0.349082226,,,,
Cd2,Egyptians,xd518,egyp1253,Egyptian Arabic,Afro-Asiatic,PrecipitationPredictability,0.351085543,,,,
SCCS43,Egyptians,xd518,egyp1253,Egyptian Arabic,Afro-Asiatic,PrecipitationPredictability,0.351085543,,,,
B144,Cahuilla (Desert),xd1131,cahu1264,Cahuilla,Uto-Aztecan,PrecipitationPredictability,0.35264314,,,,
WNAI140,Mojave,xd1272,moha1256,Mohave,Cochimi-Yuman,PrecipitationPredictability,0.357483545,,,,
Nc30,Serrano,xd1130,serr1255,Serrano,Uto-Aztecan,PrecipitationPredictability,0.358240804,,,,
WNAI86,Cahuilla (Pass),xd1439,cahu1264,Cahuilla,Uto-Aztecan,PrecipitationPredictability,0.358240804,,,,
Ea1,Sindhi,xd596,sind1272,Sindhi,Indo-European,PrecipitationPredictability,0.358903565,,,,
Nd54,Chemehuevi,xd1190,chem1251,Chemehuevi,Uto-Aztecan,PrecipitationPredictability,0.359003984,,,,
Nc27,Kawaiisu,xd1126,kawa1283,Kawaiisu,Uto-Aztecan,PrecipitationPredictability,0.360172467,,,,
WNAI81,Tongva,xd1128,tong1329,Tongva,Uto-Aztecan,PrecipitationPredictability,0.360172467,,,,
Ca35,Amarar,xd443,amar1281,Amara (Beja),Afro-Asiatic,PrecipitationPredictability,0.360851646,,,,
B199,Kawaiisu,xd1126,kawa1283,Kawaiisu,Uto-Aztecan,PrecipitationPredictability,0.367068964,,,,
WNAI141,Quechan,xd1273,quec1382,Quechan,Cochimi-Yuman,PrecipitationPredictability,0.367377657,,,,
Nd67,Tolkepaya,xd1204,yava1252,Yavapai,Cochimi-Yuman,PrecipitationPredictability,0.368039578,,,,
Ea7,Moghol,xd606,mogh1245,Mogholi,Mongolic,PrecipitationPredictability,0.368213698,,,,
Ef3,Indo-Iranian,xd665,sans1269,Sanskrit,Indo-European,PrecipitationPredictability,0.369937561,,,,
Nh20,Kamia,xd1271,kumi1248,Tipai,Cochimi-Yuman,PrecipitationPredictability,0.370732093,,,,
Nh22,Quechan,xd1273,quec1382,Quechan,Cochimi-Yuman,PrecipitationPredictability,0.372100529,,,,
WNAI85,Cahuilla (Desert),xd1131,cahu1264,Cahuilla,Uto-Aztecan,PrecipitationPredictability,0.373700559,,,,
WNAI87,Cahuilla (Mountain),xd1440,cahu1264,Cahuilla,Uto-Aztecan,PrecipitationPredictability,0.373700559,,,,
Ea8,Bakhtiari,xd607,bakh1245,Bakhtiari,Indo-European,PrecipitationPredictability,0.374966664,,,,
WNAI79,Kawaiisu,xd1126,kawa1283,Kawaiisu,Uto-Aztecan,PrecipitationPredictability,0.375090498,,,,
Ea13,Punjabi,xd600,west2386,Western Panjabi,Indo-European,PrecipitationPredictability,0.375759118,,,,
Cc17,Delim,xd495,hass1238,Hassaniyya,Afro-Asiatic,PrecipitationPredictability,0.376534047,,,,
Nh21,Mojave,xd1272,moha1256,Mohave,Cochimi-Yuman,PrecipitationPredictability,0.380024972,,,,
B145,Cupeño,xd1132,cupe1243,Cupeño,Uto-Aztecan,PrecipitationPredictability,0.380545226,,,,
WNAI83,Cupeño,xd1132,cupe1243,Cupeño,Uto-Aztecan,PrecipitationPredictability,0.380545226,,,,
Nd32,Tümpisa Shoshone (Saline and Panamint),xd1166,pana1305,Panamint,Uto-Aztecan,PrecipitationPredictability,0.38068836,,,,
Nd52,Shivwits,xd1188,sout2969,Southern Paiute,Uto-Aztecan,PrecipitationPredictability,0.38068836,,,,
WNAI118,Tümpisa Shoshone (Panamint),xd1166,pana1305,Panamint,Uto-Aztecan,PrecipitationPredictability,0.38068836,,,,
