society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Ec2,Yakut,xd628,yaku1245,Sakha,Turkic,TemperatureConstancy,0.132640603,,,,
B374,Caribou Inuit,xd1038,cari1277,Kivalliq,Eskimo-Aleut,TemperatureConstancy,0.141637158,,,,
B382,Utkuhikhalingmiut,xd1023,nets1241,Natsilingmiutut,Eskimo-Aleut,TemperatureConstancy,0.143447421,,,,
Na21,Caribou Inuit,xd1038,cari1277,Kivalliq,Eskimo-Aleut,TemperatureConstancy,0.148546006,,,,
SCCS120,Yukaghir,xd634,nort2745,Northern Yukaghir,Yukaghir,TemperatureConstancy,0.148795578,,,,
Ec4,Yurak-Samoyeds,xd632,nene1249,Tundra Nenets,Uralic,TemperatureConstancy,0.150243716,,,,
ec12,Nganasan,xd620,ngan1291,Nganasan,Uralic,TemperatureConstancy,0.153348084,,,,
Na3,Copper Inuit,xd1022,copp1244,Inuinnaqtun,Eskimo-Aleut,TemperatureConstancy,0.153578534,,,,
B383,Aivilingmiut Inuit,xd1024,cari1277,Kivalliq,Eskimo-Aleut,TemperatureConstancy,0.153713506,,,,
B381,Copper Inuit,xd1022,copp1244,Inuinnaqtun,Eskimo-Aleut,TemperatureConstancy,0.153865513,,,,
B24,Ket,xd636,kett1243,Ket,Yeniseian,TemperatureConstancy,0.153889444,,,,
Ec8,Ket,xd636,kett1243,Ket,Yeniseian,TemperatureConstancy,0.153889444,,,,
Na43,Netsilik,xd1060,nets1241,Natsilingmiutut,Eskimo-Aleut,TemperatureConstancy,0.154478214,,,,
SCCS124,Copper Inuit,xd1022,copp1244,Inuinnaqtun,Eskimo-Aleut,TemperatureConstancy,0.155923834,,,,
Ec10,Ob Ostyak,xd618,khan1273,Kazym-Berezover-Suryskarer Khanty,Uralic,TemperatureConstancy,0.156765425,,,,
B26,Yukaghir,xd634,nort2745,Northern Yukaghir,Yukaghir,TemperatureConstancy,0.159053404,,,,
Ec6,Yukaghir,xd634,nort2745,Northern Yukaghir,Yukaghir,TemperatureConstancy,0.159053404,,,,
Na30,Dene,xd1046,chip1261,Chipewyan,Athabaskan-Eyak-Tlingit,TemperatureConstancy,0.165401701,,,,
B352,Hare,xd1009,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,TemperatureConstancy,0.166939724,,,,
Na15,Tlicho,xd1032,dogr1252,Dogrib,Athabaskan-Eyak-Tlingit,TemperatureConstancy,0.167152392,,,,
Na22,Iglulik Inuit,xd1025,west2618,Western Canadian Inuktitut,Eskimo-Aleut,TemperatureConstancy,0.167318696,,,,
B361,Tlicho,xd1032,dogr1252,Dogrib,Athabaskan-Eyak-Tlingit,TemperatureConstancy,0.167895608,,,,
B384,Iglulik Inuit,xd1025,west2618,Western Canadian Inuktitut,Eskimo-Aleut,TemperatureConstancy,0.168675636,,,,
Ec11,Selkup,xd619,selk1253,Selkup,Uralic,TemperatureConstancy,0.168888453,,,,
B358,Délįne,xd1033,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,TemperatureConstancy,0.169747209,,,,
B355,Dene,xd1046,chip1261,Chipewyan,Athabaskan-Eyak-Tlingit,TemperatureConstancy,0.169978753,,,,
Na16,Délįne,xd1033,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,TemperatureConstancy,0.169999452,,,,
ec14,Ungazikmit,xd622,cent2128,Central Siberian Yupik,Eskimo-Aleut,TemperatureConstancy,0.172566707,,,,
ec15,Mansi,xd623,mans1258,Northern Mansi,Uralic,TemperatureConstancy,0.175226761,,,,
B27,Nganasan,xd620,ngan1291,Nganasan,Uralic,TemperatureConstancy,0.177082276,,,,
B254,Bungi,xd1213,west1510,Western Ojibwa,Algic,TemperatureConstancy,0.17785188,,,,
B387,Netsilik,xd1060,nets1241,Natsilingmiutut,Eskimo-Aleut,TemperatureConstancy,0.179902123,,,,
B345,DeneTha,xd1034,sout2959,South Slavey,Athabaskan-Eyak-Tlingit,TemperatureConstancy,0.182416405,,,,
B353,Attawapiskat Cree,xd1065,swam1239,Swampy Cree,Algic,TemperatureConstancy,0.182596242,,,,
B335,Round Lake Ojibwa,xd1003,seve1241,Severn River Ojibwa,Algic,TemperatureConstancy,0.183360153,,,,
B341,Wegamon Ojibwa,xd1006,seve1241,Severn River Ojibwa,Algic,TemperatureConstancy,0.183360153,,,,
Ne14,Bungi,xd1213,west1510,Western Ojibwa,Algic,TemperatureConstancy,0.183441495,,,,
Na7,Attawapiskat Cree,xd1065,swam1239,Swampy Cree,Algic,TemperatureConstancy,0.183741651,,,,
B258,Plains Cree,xd1218,plai1258,Plains Cree,Algic,TemperatureConstancy,0.183759054,,,,
Na36,Minnesota Ojibwa,xd1052,redl1238,Red Lake Chippewa,Algic,TemperatureConstancy,0.184506659,,,,
Na33,Northern Saulteaux,xd1049,alba1270,Albany River Ojibwa,Algic,TemperatureConstancy,0.18497488,,,,
B334,Pekangekum,xd1050,lacs1238,Lac Seul Ojibwa,Algic,TemperatureConstancy,0.185585465,,,,
Na34,Pekangekum,xd1050,lacs1238,Lac Seul Ojibwa,Algic,TemperatureConstancy,0.185585465,,,,
B28,Ungazikmit,xd622,cent2128,Central Siberian Yupik,Eskimo-Aleut,TemperatureConstancy,0.185993026,,,,
B377,Nunamiut,xd1029,nort2944,North Slope Inupiatun,Eskimo-Aleut,TemperatureConstancy,0.186191364,,,,
SCCS127,Northern Saulteaux,xd1049,alba1270,Albany River Ojibwa,Algic,TemperatureConstancy,0.186455669,,,,
Na17,DeneTha,xd1034,sout2959,South Slavey,Athabaskan-Eyak-Tlingit,TemperatureConstancy,0.187180452,,,,
Ec5,Koryak,xd633,kory1246,Koryak,Chukotko-Kamchatkan,TemperatureConstancy,0.18720165,,,,
B257,Assiniboine,xd1210,assi1247,Assiniboine,Siouan,TemperatureConstancy,0.187388216,,,,
B375,Noatak Inuit,xd1018,nort2945,Seward Alaska Inupiatun,Eskimo-Aleut,TemperatureConstancy,0.187522376,,,,
Nf7,Fox,xd1241,mesk1242,Meskwaki,Algic,TemperatureConstancy,0.187533657,,,,
B339,North Albany Ojibwa,xd1004,wini1244,Winisk River Ojibwa,Algic,TemperatureConstancy,0.187712511,,,,
B25,Nivkh,xd617,gily1242,Nivkh,,TemperatureConstancy,0.187794326,,,,
B332,Northern Saulteaux,xd1049,alba1270,Albany River Ojibwa,Algic,TemperatureConstancy,0.188020507,,,,
Na12,Nunamiut,xd1029,nort2944,North Slope Inupiatun,Eskimo-Aleut,TemperatureConstancy,0.188816508,,,,
ec17,Negidal,xd625,negi1245,Negidal,Tungusic,TemperatureConstancy,0.189064219,,,,
ec16,Evenk,xd624,even1259,Evenki,Tungusic,TemperatureConstancy,0.189145308,,,,
Ne19,Plains Cree,xd1218,plai1258,Plains Cree,Algic,TemperatureConstancy,0.190092005,,,,
Ne20,Santee,xd1220,dako1258,Dakota,Siouan,TemperatureConstancy,0.190092005,,,,
Ec1,Nivkh,xd617,gily1242,Nivkh,,TemperatureConstancy,0.190103093,,,,
SCCS119,Nivkh,xd617,gily1242,Nivkh,,TemperatureConstancy,0.190103093,,,,
Na31,Eastern Cree,xd1047,sout2978,Southern East Cree,Algic,TemperatureConstancy,0.191080029,,,,
B386,Baffin Island Inuit,xd1030,baff1240,North Baffin Inuktitut,Eskimo-Aleut,TemperatureConstancy,0.191395686,,,,
Na13,Baffin Island Inuit,xd1030,baff1240,North Baffin Inuktitut,Eskimo-Aleut,TemperatureConstancy,0.191395686,,,,
B371,Kotzebue Sound Inuit,xd1016,kotz1238,Kotzebue Sound Inupiatun,Eskimo-Aleut,TemperatureConstancy,0.192078588,,,,
Ne15,Hidatsa,xd1214,hida1246,Hidatsa,Siouan,TemperatureConstancy,0.192342567,,,,
Ne6,Mandan,xd1225,mand1446,Mandan,Siouan,TemperatureConstancy,0.192342567,,,,
SCCS141,Hidatsa,xd1214,hida1246,Hidatsa,Siouan,TemperatureConstancy,0.192342567,,,,
B23,Orogens,xd915,oroq1238,Oroqen,Tungusic,TemperatureConstancy,0.193139245,,,,
ec20,Oroch,xd629,oroc1248,Oroch,Tungusic,TemperatureConstancy,0.193270087,,,,
Ec3,Chukchi,xd631,chuk1273,Chukchi,Chukotko-Kamchatkan,TemperatureConstancy,0.194116371,,,,
SCCS128,DeneTha,xd1034,sout2959,South Slavey,Athabaskan-Eyak-Tlingit,TemperatureConstancy,0.19422394,,,,
B370,Kobuk Inuit,xd1015,kobu1239,Kobuk River Inupiatun,Eskimo-Aleut,TemperatureConstancy,0.194630057,,,,
B354,Koyukon,xd1010,koyu1237,Koyukon,Athabaskan-Eyak-Tlingit,TemperatureConstancy,0.195043649,,,,
B344,Beaver,xd1045,beav1236,Beaver,Athabaskan-Eyak-Tlingit,TemperatureConstancy,0.196197116,,,,
Na35,Nipigon,xd1051,cent2136,Central Ojibwa,Algic,TemperatureConstancy,0.196748251,,,,
B365,Naskapi,xd1063,nask1242,Naskapi,Algic,TemperatureConstancy,0.197040912,,,,
Na5,Naskapi,xd1063,nask1242,Naskapi,Algic,TemperatureConstancy,0.197259946,,,,
Ne10,Arikara,xd1209,arik1262,Arikara,Caddoan,TemperatureConstancy,0.197883484,,,,
B337,Nipigon,xd1051,cent2136,Central Ojibwa,Algic,TemperatureConstancy,0.198315916,,,,
ec18,Ulch,xd626,ulch1241,Ulch,Tungusic,TemperatureConstancy,0.198889135,,,,
Na38,Katikitegon,xd1054,uppe1274,Upper Michigan-Wisconsin Chippewa,Algic,TemperatureConstancy,0.199467988,,,,
Na37,Rainy River Ojibwe,xd1053,rain1239,Rainy River Ojibwa,Algic,TemperatureConstancy,0.199627426,,,,
Na20,Kutchin,xd1037,gwic1235,Gwich'in,Athabaskan-Eyak-Tlingit,TemperatureConstancy,0.2004477,,,,
B338,Mistissini Cree,xd1062,sout2978,Southern East Cree,Algic,TemperatureConstancy,0.200638865,,,,
B356,Kutchin,xd1037,gwic1235,Gwich'in,Athabaskan-Eyak-Tlingit,TemperatureConstancy,0.200715971,,,,
ch19,Karelians,xd556,livv1243,Livvi,Uralic,TemperatureConstancy,0.200840754,,,,
Na23,Labrador Inuit,xd1039,labr1244,North Labrador Eskimo,Eskimo-Aleut,TemperatureConstancy,0.200901373,,,,
SCCS115,Manchu,xd646,manc1252,Manchu,Tungusic,TemperatureConstancy,0.200965372,,,,
B253,Gros Ventre,xd1208,gros1243,Gros Ventre,Algic,TemperatureConstancy,0.200985368,,,,
B351,Hän,xd1008,hann1241,Han,Athabaskan-Eyak-Tlingit,TemperatureConstancy,0.201313481,,,,
B328,Katikitegon,xd1054,uppe1274,Upper Michigan-Wisconsin Chippewa,Algic,TemperatureConstancy,0.201888598,,,,
Na45,Mistissini Cree,xd1062,sout2978,Southern East Cree,Algic,TemperatureConstancy,0.202818924,,,,
B360,Waskaganish,xd1011,sout2978,Southern East Cree,Algic,TemperatureConstancy,0.202950817,,,,
