society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
SCCS85,Iban,xd750,iban1264,Iban,Austronesian,TemperatureContingency,0.004848253,,,,
B1,Punan,xd1442,west2563,Western Penan,Austronesian,TemperatureContingency,0.00539042,,,,
If11,Kosraeans,xd826,kosr1238,Kosraean,Austronesian,TemperatureContingency,0.005440749,,,,
Ii7,Kapingamarangi,xd886,kapi1249,Kapingamarangi,Austronesian,TemperatureContingency,0.005530705,,,,
Ib9,Punan,xd758,puna1275,Punan Bah-Biau,Austronesian,TemperatureContingency,0.006335213,,,,
If13,Nauruans,xd828,naur1243,Nauru,Austronesian,TemperatureContingency,0.006845087,,,,
If10,Nomoians,xd825,mort1237,Mortlockese,Austronesian,TemperatureContingency,0.007872402,,,,
If7,Gilbert Onotoa,xd838,nuii1237,Nui,Austronesian,TemperatureContingency,0.008244569,,,,
If14,Makin,xd829,bana1287,Banaban,Austronesian,TemperatureContingency,0.008347576,,,,
SCCS107,Makin,xd829,bana1287,Banaban,Austronesian,TemperatureContingency,0.008347576,,,,
Ib1,Iban,xd750,iban1264,Iban,Austronesian,TemperatureContingency,0.008687961,,,,
If5,Ponapeans,xd836,pohn1238,Pohnpeian,Austronesian,TemperatureContingency,0.009040859,,,,
If16,Lamotrek,xd831,lamo1243,Lamotrek,Austronesian,TemperatureContingency,0.009329949,,,,
Ie6,Waropen,xd820,waro1242,Waropen,Austronesian,TemperatureContingency,0.009440652,,,,
If4,Ifaluk,xd835,nucl1479,Nuclear Woleaian,Austronesian,TemperatureContingency,0.009540659,,,,
If2,Trukese,xd833,chuu1238,Chuukese,Austronesian,TemperatureContingency,0.00960901,,,,
SCCS109,Trukese,xd833,chuu1238,Chuukese,Austronesian,TemperatureContingency,0.00960901,,,,
If17,Marshallese,xd832,rata1243,Ratak,Austronesian,TemperatureContingency,0.009721257,,,,
SCCS108,Marshallese,xd832,rata1243,Ratak,Austronesian,TemperatureContingency,0.009721257,,,,
SCCS88,Tobelorese,xd760,tobe1252,Tobelo,North Halmahera,TemperatureContingency,0.010219579,,,,
If1,Palauans,xd824,pala1344,Palauan,Austronesian,TemperatureContingency,0.01197363,,,,
SCCS111,Palauans,xd824,pala1344,Palauan,Austronesian,TemperatureContingency,0.01197363,,,,
Ie4,Wogeo,xd818,woge1237,Wogeo,Austronesian,TemperatureContingency,0.012342135,,,,
Ia17,Bilaan,xd740,koro1310,Koronadal Blaan,Austronesian,TemperatureContingency,0.013458107,,,,
Ii4,Ellice,xd883,tuva1244,Tuvalu,Austronesian,TemperatureContingency,0.013697674,,,,
Ib8,Anak Dalam,xd757,kubu1239,Kubu,Austronesian,TemperatureContingency,0.014372885,,,,
Sa1,Guna,xd1309,bord1248,Border Kuna,Chibchan,TemperatureContingency,0.016380744,,,,
Ie33,Soromadja,xd811,nucl1595,Kwerba,Greater Kwerba,TemperatureContingency,0.016431093,,,,
Ig13,Aua,xd845,wuvu1239,Wuvulu-Aua,Austronesian,TemperatureContingency,0.016633783,,,,
If3,Majuro,xd834,rata1243,Ratak,Austronesian,TemperatureContingency,0.017023205,,,,
Ii6,Tokelau,xd885,toke1240,Tokelau,Austronesian,TemperatureContingency,0.018401542,,,,
Ij10,Tongarevans,xd890,penr1237,Māngarongaro,Austronesian,TemperatureContingency,0.018469432,,,,
SCCS157,Bribri,xd1321,brib1243,Bribri,Chibchan,TemperatureContingency,0.020199263,,,,
Ic10,Tobelorese,xd760,tobe1252,Tobelo,North Halmahera,TemperatureContingency,0.020259317,,,,
Sa14,Ngäbe,xd1314,ngab1239,Ngäbere,Chibchan,TemperatureContingency,0.020468071,,,,
Ie29,Manam,xd806,mana1295,Manam,Austronesian,TemperatureContingency,0.020943438,,,,
Ie34,Bgu,xd812,bong1287,Bonggo,Austronesian,TemperatureContingency,0.021198806,,,,
SCCS168,Chachi,xd1376,chac1249,Cha'palaa,Barbacoan,TemperatureContingency,0.021305022,,,,
Se10,Cocama,xd1363,coca1259,Cocama-Cocamilla,Tupian,TemperatureContingency,0.021305022,,,,
Sf3,Chachi,xd1376,chac1249,Cha'palaa,Barbacoan,TemperatureContingency,0.021305022,,,,
Sf5,Páez,xd1378,paez1247,Páez,,TemperatureContingency,0.021439069,,,,
Ia4,Subanun,xd744,cent2089,Central Subanen,Austronesian,TemperatureContingency,0.02257531,,,,
B3,Anak Dalam,xd757,kubu1239,Kubu,Austronesian,TemperatureContingency,0.02363445,,,,
Ib6,Minangkabau,xd755,mina1268,Minangkabau,Austronesian,TemperatureContingency,0.024010462,,,,
If6,Yapese,xd837,yape1248,Yapese,Austronesian,TemperatureContingency,0.024069156,,,,
SCCS110,Yapese,xd837,yape1248,Yapese,Austronesian,TemperatureContingency,0.024069156,,,,
Ii5,Ontong Java,xd884,onto1237,Luangiua,Austronesian,TemperatureContingency,0.024579265,,,,
Ij4,Manihikians,xd893,raka1237,Rakahanga-Manihiki,Austronesian,TemperatureContingency,0.026402535,,,,
Ie16,Kutubu,xd792,foii1241,Foi,East Kutubu,TemperatureContingency,0.027217035,,,,
Sa4,Emberá,xd1320,nort2972,Northern Emberá,Chocoan,TemperatureContingency,0.028034935,,,,
Ie11,Kakoli,xd787,umbu1258,Umbu-Ungu,Nuclear Trans New Guinea,TemperatureContingency,0.028275784,,,,
Ie7,Enga,xd821,enga1252,Enga,Nuclear Trans New Guinea,TemperatureContingency,0.028275784,,,,
Ic5,Toradja,xd767,pamo1252,Pamona,Austronesian,TemperatureContingency,0.029518785,,,,
SCCS87,Toradja,xd767,pamo1252,Pamona,Austronesian,TemperatureContingency,0.029518785,,,,
Ig10,Usiai,xd842,lele1270,Lele (Papua New Guinea),Austronesian,TemperatureContingency,0.029595509,,,,
Ig9,Manus,xd861,tita1241,Titan,Austronesian,TemperatureContingency,0.029595509,,,,
SCCS96,Manus,xd861,tita1241,Titan,Austronesian,TemperatureContingency,0.029595509,,,,
Ie15,Abelam,xd791,ambu1247,Ambulas,Ndu,TemperatureContingency,0.02971912,,,,
Ib4,Toba Batak,xd753,bata1289,Batak Toba,Austronesian,TemperatureContingency,0.030496689,,,,
Ia15,Manobo,xd738,agus1235,Agusan Manobo,Austronesian,TemperatureContingency,0.030818506,,,,
If9,Ulithians,xd840,ulit1238,Ulithian,Austronesian,TemperatureContingency,0.030823142,,,,
Se5,Cubeo,xd1369,cube1242,Cubeo,Tucanoan,TemperatureContingency,0.03285708,,,,
Ii3,Pukapukans,xd882,puka1242,Pukapuka,Austronesian,TemperatureContingency,0.033292213,,,,
Se12,Tucano,xd1365,tuca1252,Tucano,Tucanoan,TemperatureContingency,0.033371017,,,,
B36,Shiriana,xd1358,nina1238,Ninam,Yanomamic,TemperatureContingency,0.033735368,,,,
Ie38,Dani,xd816,midg1235,Mid Grand Valley Dani,Nuclear Trans New Guinea,TemperatureContingency,0.034215747,,,,
Ae41,Kota,xd162,ndas1238,Ndasa,Atlantic-Congo,TemperatureContingency,0.034480917,,,,
SCCS97,Lesu,xd856,nots1237,Notsi,Austronesian,TemperatureContingency,0.034559849,,,,
Sa5,Bribri,xd1321,brib1243,Bribri,Chibchan,TemperatureContingency,0.034911166,,,,
Sd8,Sanema,xd1360,sanu1240,Sanumá,Yanomamic,TemperatureContingency,0.034970777,,,,
SCCS167,Cubeo,xd1369,cube1242,Cubeo,Tucanoan,TemperatureContingency,0.035722669,,,,
Ig4,Lesu,xd856,nots1237,Notsi,Austronesian,TemperatureContingency,0.036761141,,,,
Ie36,Samarokena,xd814,sama1240,Samarokena,Greater Kwerba,TemperatureContingency,0.036852783,,,,
Ig21,Tangu,xd854,tang1355,Tanggu,Lower Sepik-Ramu,TemperatureContingency,0.036974065,,,,
SCCS82,Negri Sembilan,xd723,nege1240,Negeri Sembilan Malay,Austronesian,TemperatureContingency,0.038313823,,,,
Ie3,Arapesh,xd807,buki1249,Bukiyip,Nuclear Torricelli,TemperatureContingency,0.038390264,,,,
Ib5,Kadazan-Dusun,xd754,cent2100,Central Dusun,Austronesian,TemperatureContingency,0.038834603,,,,
Se6,Witoto,xd1370,muru1274,Murui Huitoto,Huitotoan,TemperatureContingency,0.039399555,,,,
Ie27,Banaro,xd804,bana1292,Banaro,,TemperatureContingency,0.039788205,,,,
Ie17,Siane,xd793,sian1257,Siane,Nuclear Trans New Guinea,TemperatureContingency,0.040163315,,,,
Ie31,Fore,xd809,fore1270,Fore,Nuclear Trans New Guinea,TemperatureContingency,0.040163315,,,,
Ia13,Badjau Tawi-Tawi,xd736,sout2918,Southern Sama,Austronesian,TemperatureContingency,0.040759829,,,,
Ij3,Marquesans,xd892,nort2845,North Marquesan,Austronesian,TemperatureContingency,0.040799669,,,,
