society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
B377,Nunamiut,xd1029,nort2944,North Slope Inupiatun,Eskimo-Aleut,TemperaturePredictability,0.423178532,,,,
Na12,Nunamiut,xd1029,nort2944,North Slope Inupiatun,Eskimo-Aleut,TemperaturePredictability,0.425774028,,,,
B375,Noatak Inuit,xd1018,nort2945,Seward Alaska Inupiatun,Eskimo-Aleut,TemperaturePredictability,0.426982839,,,,
B370,Kobuk Inuit,xd1015,kobu1239,Kobuk River Inupiatun,Eskimo-Aleut,TemperaturePredictability,0.428405596,,,,
Ec4,Yurak-Samoyeds,xd632,nene1249,Tundra Nenets,Uralic,TemperaturePredictability,0.428426444,,,,
B354,Koyukon,xd1010,koyu1237,Koyukon,Athabaskan-Eyak-Tlingit,TemperaturePredictability,0.430990363,,,,
B371,Kotzebue Sound Inuit,xd1016,kotz1238,Kotzebue Sound Inupiatun,Eskimo-Aleut,TemperaturePredictability,0.434084924,,,,
SCCS124,Copper Inuit,xd1022,copp1244,Inuinnaqtun,Eskimo-Aleut,TemperaturePredictability,0.434701346,,,,
Na3,Copper Inuit,xd1022,copp1244,Inuinnaqtun,Eskimo-Aleut,TemperaturePredictability,0.435929641,,,,
ec12,Nganasan,xd620,ngan1291,Nganasan,Uralic,TemperaturePredictability,0.436419954,,,,
B352,Hare,xd1009,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,TemperaturePredictability,0.436615798,,,,
Ec10,Ob Ostyak,xd618,khan1273,Kazym-Berezover-Suryskarer Khanty,Uralic,TemperaturePredictability,0.439986227,,,,
B381,Copper Inuit,xd1022,copp1244,Inuinnaqtun,Eskimo-Aleut,TemperaturePredictability,0.441995149,,,,
B374,Caribou Inuit,xd1038,cari1277,Kivalliq,Eskimo-Aleut,TemperaturePredictability,0.443173719,,,,
B358,Délįne,xd1033,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,TemperaturePredictability,0.443669467,,,,
B351,Hän,xd1008,hann1241,Han,Athabaskan-Eyak-Tlingit,TemperaturePredictability,0.446549534,,,,
B382,Utkuhikhalingmiut,xd1023,nets1241,Natsilingmiutut,Eskimo-Aleut,TemperaturePredictability,0.446665054,,,,
B356,Kutchin,xd1037,gwic1235,Gwich'in,Athabaskan-Eyak-Tlingit,TemperaturePredictability,0.447499068,,,,
Na20,Kutchin,xd1037,gwic1235,Gwich'in,Athabaskan-Eyak-Tlingit,TemperaturePredictability,0.448158071,,,,
B364,Holikachuk,xd1013,holi1241,Holikachuk,Athabaskan-Eyak-Tlingit,TemperaturePredictability,0.448777266,,,,
Na16,Délįne,xd1033,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,TemperaturePredictability,0.450049471,,,,
Na21,Caribou Inuit,xd1038,cari1277,Kivalliq,Eskimo-Aleut,TemperaturePredictability,0.450782285,,,,
ec14,Ungazikmit,xd622,cent2128,Central Siberian Yupik,Eskimo-Aleut,TemperaturePredictability,0.450885716,,,,
B369,Norton Sound Inuit,xd1014,kusk1241,General Central Yup'ik,Eskimo-Aleut,TemperaturePredictability,0.451822067,,,,
Na2,Tareumiut,xd1036,nort2944,North Slope Inupiatun,Eskimo-Aleut,TemperaturePredictability,0.452690467,,,,
B378,Inuvialuit,xd1019,sigl1242,Siglitun,Eskimo-Aleut,TemperaturePredictability,0.454874567,,,,
B361,Tlicho,xd1032,dogr1252,Dogrib,Athabaskan-Eyak-Tlingit,TemperaturePredictability,0.455768896,,,,
