society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Aa5,Mbuti,xd5,bila1255,Bila,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ab10,Pondo,xd11,mpon1252,Mpondo,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ab11,Xhosa,xd12,xesi1238,Xesibe,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ab16,Lenge,xd17,leng1257,Lengue,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ab2,Swazi,xd21,swat1243,Swati,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ab22,Chopi,xd25,copi1238,Copi,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ac16,Mitsogho,xd40,tsog1243,Tsogo,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ac22,Dzing,xd47,ding1239,Ding,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ac41,Makonde,xd68,mako1251,Makonde,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ac8,Yombe,xd74,yomb1244,Yombe,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ad12,Gusii,xd79,gusi1247,Gusii,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ad27,Kwere,xd95,kwer1261,Kwere,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ad28,Zigula,xd96,zigu1242,Zigula,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ad29,Hadimu,xd97,pemb1239,Pemba,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ad3,Chagga,xd98,moch1256,Mochi,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ad30,Digo,xd99,digo1243,Digo,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ad31,Duruma,xd100,duru1249,Duruma,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ad32,Giriama,xd101,giry1241,Giryama,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ad33,Pokomo,xd102,poko1261,Pokomo,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ad37,Teita,xd106,tait1250,Taita,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ad44,Konjo,xd114,konz1239,Konzo,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ad48,Toro,xd118,toor1238,Tooro,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae12,Duala,xd130,dual1243,Duala,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae13,Bashi,xd131,shii1238,Shi,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae15,Hunde,xd133,hund1239,Hunde,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae17,Rega,xd135,lega1249,Lega-Shabunda,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae2,Kpe,xd138,mokp1239,Mokpwe,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae20,Ekonda,xd139,ekon1238,Ekonda Mongo,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae21,Kela,xd140,yela1238,Yela-Kela,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae23,Lalia,xd142,ngan1302,Ngando-Lalia,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae24,Mongo,xd143,long1393,Longo (Democratic Republic of Congo),Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae26,Topoke,xd145,poke1238,Poke,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae27,Lokele,xd146,kele1255,Kele-Foma,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae28,Ngala,xd147,ling1263,Lingala,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae29,Poto,xd148,luse1252,Lusengo,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae3,Fang,xd149,fang1246,Fang (Equatorial Guinea),Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae30,Bira,xd150,bila1255,Bila,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae31,Budu,xd151,budu1250,Budu,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae32,Kumu,xd152,komo1260,Komo (Democratic Republic of Congo),Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae33,Ndaka Babali,xd153,bali1274,Bali (Democratic Republic of Congo),Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae35,Rumbi,xd155,lomb1254,Lombi,Central Sudanic,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae36,Bombesa,xd156,mbes1238,Mbesa,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae37,Budja,xd157,budz1238,Budza,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae38,Ndoko,xd158,doko1244,Doko (Democratic Republic of Congo),Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae39,Ngombe,xd159,binj1250,Binja,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae4,Nkundo,xd160,nkun1238,Nkundo,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae40,Dzem,xd161,njye1238,Njyem,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae41,Kota,xd162,ndas1238,Ndasa,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae42,Ngumba,xd163,kwas1243,Kwasio,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae43,Sanga,xd164,bomw1238,Bomwali,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae44,Bubi,xd165,bube1242,Bube,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae46,Mpongwe,xd167,myen1241,Myene,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae47,Puku,xd168,bata1285,Batanga,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae49,Bali Nyonga,xd170,mung1266,Mungaka,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae5,Bamileke,xd171,fefe1239,Fe'fe',Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae53,Koko,xd175,bako1249,Bakoko,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae54,Kom,xd176,komc1235,Kom (Cameroon),Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae55,Ndob,xd177,band1349,Bandobo,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae59,Widikum,xd181,meta1238,Meta',Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae7,Baboa,xd183,bwaa1238,Bwa,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Ae9,Fut,xd185,bafu1246,Bafut,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af10,Igbo,xd187,nucl1417,Igbo,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af12,Akyem,xd189,akye1239,Akyem Bosome,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af15,Kpelle,xd192,libe1247,Liberia Kpelle,Mande,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af16,Banyang,xd193,keny1279,Kenyang,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af17,Boki,xd194,boky1238,Bokyi,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af19,Efik,xd196,efik1245,Efik,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af20,Ibibio,xd198,ibib1240,Ibibio,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af24,Edo,xd202,bini1246,Bini,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af25,Isoko,xd203,isok1239,Isoko,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af3,Ashanti,xd208,asan1239,Asante,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af32,Egba,xd211,egba1238,Egba,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af33,Ekiti,xd212,ekit1244,Ekiti,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af34,Ife,xd213,ifee1241,Ifè,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af35,Adangme,xd214,adan1247,Adangme,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af38,Abron,xd217,abro1238,Abron,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af39,Anyi,xd218,anyi1245,Anyin,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af40,Assini,xd220,abur1243,Abure,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af41,Attie,xd221,atti1239,Attié,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af42,Fante,xd222,fant1241,Fante,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af43,Ga,xd223,gaaa1244,Ga,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af44,Alagya,xd224,alla1248,Alladian,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af46,Bakwe,xd226,bakw1243,Bakwé,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af47,Krahn,xd227,west2488,Western Krahn,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af49,Sapo,xd229,sapo1251,Sapo,Atlantic-Congo,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af5,Mende,xd230,mend1266,Mende (Sierra Leone),Mande,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af51,Gagu,xd232,gagu1242,Gban,Mande,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
Af52,Guro,xd233,guro1248,Guro,Mande,Biome,1,Tropical & Subtropical Moist Broadleaf Forests,1988,,
