society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
B26,Yukaghir,xd634,nort2745,Northern Yukaghir,Yukaghir,AmphibianRichness,1.0,,2013,,
B28,Ungazikmit,xd622,cent2128,Central Siberian Yupik,Eskimo-Aleut,AmphibianRichness,1.0,,2013,,
B290,Haida,xd1068,nort2938,Northern Haida,Haida,AmphibianRichness,1.0,,2013,,
B296,Kuskowagmut,xd1000,kusk1241,General Central Yup'ik,Eskimo-Aleut,AmphibianRichness,1.0,,2013,,
B350,Mountain Dene,xd1007,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,AmphibianRichness,1.0,,2013,,
B351,Hän,xd1008,hann1241,Han,Athabaskan-Eyak-Tlingit,AmphibianRichness,1.0,,2013,,
B354,Koyukon,xd1010,koyu1237,Koyukon,Athabaskan-Eyak-Tlingit,AmphibianRichness,1.0,,2013,,
B357,Deg Xit'an,xd1066,dege1248,Degexit'an,Athabaskan-Eyak-Tlingit,AmphibianRichness,1.0,,2013,,
B358,Délįne,xd1033,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,AmphibianRichness,1.0,,2013,,
B359,Nabesna,xd1026,uppe1437,Upper Tanana,Athabaskan-Eyak-Tlingit,AmphibianRichness,1.0,,2013,,
B362,Dena'ina,xd1042,tana1289,Tanaina,Athabaskan-Eyak-Tlingit,AmphibianRichness,1.0,,2013,,
B363,Tutchone,xd1012,nort2941,Northern Tutchone,Athabaskan-Eyak-Tlingit,AmphibianRichness,1.0,,2013,,
B364,Holikachuk,xd1013,holi1241,Holikachuk,Athabaskan-Eyak-Tlingit,AmphibianRichness,1.0,,2013,,
B370,Kobuk Inuit,xd1015,kobu1239,Kobuk River Inupiatun,Eskimo-Aleut,AmphibianRichness,1.0,,2013,,
B371,Kotzebue Sound Inuit,xd1016,kotz1238,Kotzebue Sound Inupiatun,Eskimo-Aleut,AmphibianRichness,1.0,,2013,,
B372,Labrador Inuit,xd1039,labr1244,North Labrador Eskimo,Eskimo-Aleut,AmphibianRichness,1.0,,2013,,
B375,Noatak Inuit,xd1018,nort2945,Seward Alaska Inupiatun,Eskimo-Aleut,AmphibianRichness,1.0,,2013,,
B377,Nunamiut,xd1029,nort2944,North Slope Inupiatun,Eskimo-Aleut,AmphibianRichness,1.0,,2013,,
B380,Inupiat,xd1021,nort2944,North Slope Inupiatun,Eskimo-Aleut,AmphibianRichness,1.0,,2013,,
B389,Tareumiut,xd1036,nort2944,North Slope Inupiatun,Eskimo-Aleut,AmphibianRichness,1.0,,2013,,
B51,Tehuelche,xd1386,tehu1242,Tehuelche,Chonan,AmphibianRichness,1.0,,2013,,
B82,Kaurareg,xd937,kala1377,Kala Lagaw Ya,Pama-Nyungan,AmphibianRichness,1.0,,2013,,
Ca35,Amarar,xd443,amar1281,Amara (Beja),Afro-Asiatic,AmphibianRichness,1.0,,2013,,
Ca43,Hadendowa,xd452,hade1248,Hadendoa,Afro-Asiatic,AmphibianRichness,1.0,,2013,,
Cc1,Regeibat,xd487,hass1238,Hassaniyya,Afro-Asiatic,AmphibianRichness,1.0,,2013,,
Cc12,Ifora,xd490,tadh1242,Tadhaq,Afro-Asiatic,AmphibianRichness,1.0,,2013,,
Cc18,Kunta,xd496,hass1238,Hassaniyya,Afro-Asiatic,AmphibianRichness,1.0,,2013,,
Cd1,Barabra,xd507,kenu1236,Kenuzi-Dongola,Nubian,AmphibianRichness,1.0,,2013,,
Cj2,Rwala,xd588,east2690,Eastern Egyptian Bedawi Arabic,Afro-Asiatic,AmphibianRichness,1.0,,2013,,
Ea5,Nuristani,xd604,kamv1242,Kamviri,Indo-European,AmphibianRichness,1.0,,2013,,
Ec5,Koryak,xd633,kory1246,Koryak,Chukotko-Kamchatkan,AmphibianRichness,1.0,,2013,,
Ec6,Yukaghir,xd634,nort2745,Northern Yukaghir,Yukaghir,AmphibianRichness,1.0,,2013,,
Ee2,Burusho,xd654,buru1296,Burushaski,,AmphibianRichness,1.0,,2013,,
Ic2,Alorese,xd764,abui1241,Abui,Timor-Alor-Pantar,AmphibianRichness,1.0,,2013,,
Ig2,Trobriands,xd852,kili1267,Kilivila,Austronesian,AmphibianRichness,1.0,,2013,,
Ih14,Mbau Fijians,xd867,bauu1243,Bau (Fijian),Austronesian,AmphibianRichness,1.0,,2013,,
Ih8,Vanua Levu,xd874,nort2843,Northeast Vanua Levu,Austronesian,AmphibianRichness,1.0,,2013,,
Na1,Nabesna,xd1026,uppe1437,Upper Tanana,Athabaskan-Eyak-Tlingit,AmphibianRichness,1.0,,2013,,
Na12,Nunamiut,xd1029,nort2944,North Slope Inupiatun,Eskimo-Aleut,AmphibianRichness,1.0,,2013,,
Na15,Tlicho,xd1032,dogr1252,Dogrib,Athabaskan-Eyak-Tlingit,AmphibianRichness,1.0,,2013,,
Na16,Délįne,xd1033,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,AmphibianRichness,1.0,,2013,,
Na2,Tareumiut,xd1036,nort2944,North Slope Inupiatun,Eskimo-Aleut,AmphibianRichness,1.0,,2013,,
Na23,Labrador Inuit,xd1039,labr1244,North Labrador Eskimo,Eskimo-Aleut,AmphibianRichness,1.0,,2013,,
Na30,Dene,xd1046,chip1261,Chipewyan,Athabaskan-Eyak-Tlingit,AmphibianRichness,1.0,,2013,,
Na4,Kaska,xd1056,kask1239,Kaska,Athabaskan-Eyak-Tlingit,AmphibianRichness,1.0,,2013,,
Na44,Taqagmiut,xd1061,queb1248,Nunavik,Eskimo-Aleut,AmphibianRichness,1.0,,2013,,
Na5,Naskapi,xd1063,nask1242,Naskapi,Algic,AmphibianRichness,1.0,,2013,,
Na8,Deg Xit'an,xd1066,dege1248,Degexit'an,Athabaskan-Eyak-Tlingit,AmphibianRichness,1.0,,2013,,
Nb1,Haida,xd1068,nort2938,Northern Haida,Haida,AmphibianRichness,1.0,,2013,,
Nb15,Lummi,xd1074,lumm1243,Lummi,Salishan,AmphibianRichness,1.0,,2013,,
SCCS122,Deg Xit'an,xd1066,dege1248,Degexit'an,Athabaskan-Eyak-Tlingit,AmphibianRichness,1.0,,2013,,
SCCS129,Kaska,xd1056,kask1239,Kaska,Athabaskan-Eyak-Tlingit,AmphibianRichness,1.0,,2013,,
SCCS131,Haida,xd1068,nort2938,Northern Haida,Haida,AmphibianRichness,1.0,,2013,,
SCCS52,Sami,xd544,nort2671,North Saami,Uralic,AmphibianRichness,1.0,,2013,,
SCCS53,Yurak-Samoyeds,xd632,nene1249,Tundra Nenets,Uralic,AmphibianRichness,1.0,,2013,,
SCCS65,Kazakh,xd609,kaza1248,Kazakh,Turkic,AmphibianRichness,1.0,,2013,,
SCCS98,Trobriands,xd852,kili1267,Kilivila,Austronesian,AmphibianRichness,1.0,,2013,,
Sg4,Tehuelche,xd1386,tehu1242,Tehuelche,Chonan,AmphibianRichness,1.0,,2013,,
Sg5,Alacaluf,xd1387,qawa1238,Qawasqar,Kawesqar,AmphibianRichness,1.0,,2013,,
WNAI135,Chemehuevi,xd1190,chem1251,Chemehuevi,Uto-Aztecan,AmphibianRichness,1.0,,2013,,
WNAI3,Haida (Northern),xd1068,nort2938,Northern Haida,Haida,AmphibianRichness,1.0,,2013,,
WNAI4,Haida (Southern),xd1438,sout2956,Southern Haida,Haida,AmphibianRichness,1.0,,2013,,
ec13,Itelmen,xd621,itel1242,Itelmen,Chukotko-Kamchatkan,AmphibianRichness,1.0,,2013,,
ec14,Ungazikmit,xd622,cent2128,Central Siberian Yupik,Eskimo-Aleut,AmphibianRichness,1.0,,2013,,
SCCS64,Burusho,xd654,buru1296,Burushaski,,AmphibianRichness,1.080754263,,2013,,
Cd9,Tekna,xd527,hass1238,Hassaniyya,Afro-Asiatic,AmphibianRichness,1.111538551,,2013,,
Nc27,Kawaiisu,xd1126,kawa1283,Kawaiisu,Uto-Aztecan,AmphibianRichness,1.113071495,,2013,,
