society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
If4,Ifaluk,xd835,nucl1479,Nuclear Woleaian,Austronesian,BirdRichness,2.754014328,,2013,,
Cc3,Siwans,xd500,siwi1239,Siwi,Afro-Asiatic,BirdRichness,7.0,,2013,,
Ia12,Sugbuanon,xd735,cebu1242,Cebuano,Austronesian,BirdRichness,7.0,,2013,,
Cc7,Barabish,xd504,hass1238,Hassaniyya,Afro-Asiatic,BirdRichness,8.0,,2013,,
Cd18,Saadi,xd516,said1239,Saidi Arabic,Afro-Asiatic,BirdRichness,8.0,,2013,,
Cj5,Mutair,xd591,sout3119,South Najdi,Afro-Asiatic,BirdRichness,10.27596914,,2013,,
Cd13,Hamama,xd511,sout3114,South-Western Tunisian,Afro-Asiatic,BirdRichness,10.31386403,,2013,,
Ii7,Kapingamarangi,xd886,kapi1249,Kapingamarangi,Austronesian,BirdRichness,10.54944013,,2013,,
Cd20,Sanusi,xd519,liby1240,Libyan Arabic,Afro-Asiatic,BirdRichness,11.75173623,,2013,,
Cc12,Ifora,xd490,tadh1242,Tadhaq,Afro-Asiatic,BirdRichness,12.91329336,,2013,,
Cc1,Regeibat,xd487,hass1238,Hassaniyya,Afro-Asiatic,BirdRichness,13.0,,2013,,
Aj6,Luo,xd411,luok1236,Luo (Kenya and Tanzania),Nilotic,BirdRichness,14.0,,2013,,
Cc18,Kunta,xd496,hass1238,Hassaniyya,Afro-Asiatic,BirdRichness,14.11815869,,2013,,
Cc2,Teda,xd498,teda1241,Tedaga,Saharan,BirdRichness,16.0,,2013,,
Cc17,Delim,xd495,hass1238,Hassaniyya,Afro-Asiatic,BirdRichness,16.00493709,,2013,,
SCCS46,Rwala,xd588,east2690,Eastern Egyptian Bedawi Arabic,Afro-Asiatic,BirdRichness,16.46927852,,2013,,
Ca34,Ababda,xd442,abab1239,Ababda,Afro-Asiatic,BirdRichness,17.95411571,,2013,,
SCCS102,Mbau Fijians,xd867,bauu1243,Bau (Fijian),Austronesian,BirdRichness,18.0,,2013,,
Cd12,Algerians,xd510,algi1247,Algiers,Afro-Asiatic,BirdRichness,18.25057874,,2013,,
Cc11,Azjer,xd489,ghat1242,Ghat,Afro-Asiatic,BirdRichness,18.7115439,,2013,,
B379,Sivokamiut Inuit,xd1028,cent2128,Central Siberian Yupik,Eskimo-Aleut,BirdRichness,19.06331776,,2013,,
Na11,Sivokakmeit,xd1028,cent2128,Central Siberian Yupik,Eskimo-Aleut,BirdRichness,19.06331776,,2013,,
Ea6,Basseri,xd605,bass1257,Basseri,Indo-European,BirdRichness,19.92263284,,2013,,
SCCS40,Teda,xd498,teda1241,Tedaga,Saharan,BirdRichness,21.0,,2013,,
Ci11,Kurd,xd576,cent1972,Central Kurdish,Indo-European,BirdRichness,21.1601677,,2013,,
Cf3,Tristan da Cunha,xd538,stan1293,English,Indo-European,BirdRichness,21.30131299,,2013,,
Ej6,Moken,xd728,moke1242,Moken,Austronesian,BirdRichness,22.0,,2013,,
