society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
B299,Nunivak,xd1064,kusk1241,General Central Yup'ik,Eskimo-Aleut,MammalRichness,1.0,,2013,,
B388,Tasiilaq,xd1040,tunu1234,Tunumiisiut,Eskimo-Aleut,MammalRichness,1.0,,2013,,
If6,Yapese,xd837,yape1248,Yapese,Austronesian,MammalRichness,1.0,,2013,,
Ii9,Niueans,xd888,niue1239,Niuean,Austronesian,MammalRichness,1.0,,2013,,
Ij2,Māori,xd891,maor1246,Maori,Austronesian,MammalRichness,1.0,,2013,,
Ij6,Hawaiians,xd895,hawa1245,Hawaiian,Austronesian,MammalRichness,1.0,,2013,,
Na6,Nunivak,xd1064,kusk1241,General Central Yup'ik,Eskimo-Aleut,MammalRichness,1.0,,2013,,
SCCS104,Māori,xd891,maor1246,Maori,Austronesian,MammalRichness,1.0,,2013,,
SCCS110,Yapese,xd837,yape1248,Yapese,Austronesian,MammalRichness,1.0,,2013,,
If1,Palauans,xd824,pala1344,Palauan,Austronesian,MammalRichness,2.0,,2013,,
If5,Ponapeans,xd836,pohn1238,Pohnpeian,Austronesian,MammalRichness,2.0,,2013,,
If8,Chamorro,xd839,cham1312,Chamorro,Austronesian,MammalRichness,2.0,,2013,,
Ih11,Epi,xd864,lame1260,Lamenu,Austronesian,MammalRichness,2.0,,2013,,
Ih13,Ranon,xd866,nort2839,North Ambrym,Austronesian,MammalRichness,2.0,,2013,,
Ih3,Bunlap,xd869,saaa1241,Sa,Austronesian,MammalRichness,2.0,,2013,,
SCCS101,Bunlap,xd869,saaa1241,Sa,Austronesian,MammalRichness,2.0,,2013,,
SCCS111,Palauans,xd824,pala1344,Palauan,Austronesian,MammalRichness,2.0,,2013,,
B294,Koniag,xd999,koni1262,Koniag,Eskimo-Aleut,MammalRichness,2.512579706,,2013,,
If4,Ifaluk,xd835,nucl1479,Nuclear Woleaian,Austronesian,MammalRichness,2.754014328,,2013,,
B292,Tlingit,xd1082,tlin1245,Tlingit,Athabaskan-Eyak-Tlingit,MammalRichness,3.0,,2013,,
B52,Chono,xd922,chon1248,Chono,,MammalRichness,3.0,,2013,,
Cg2,Icelanders,xd542,icel1247,Icelandic,Indo-European,MammalRichness,3.0,,2013,,
Ia14,Tao,xd737,yami1254,Yami,Austronesian,MammalRichness,3.0,,2013,,
Ii1,American Samoans,xd876,samo1305,Samoan,Austronesian,MammalRichness,3.0,,2013,,
Ii14,Upolu Samoans,xd880,samo1305,Samoan,Austronesian,MammalRichness,3.0,,2013,,
Na43,Netsilik,xd1060,nets1241,Natsilingmiutut,Eskimo-Aleut,MammalRichness,3.0,,2013,,
Na9,Aleut,xd1067,east2533,Eastern Aleut,Eskimo-Aleut,MammalRichness,3.0,,2013,,
SCCS106,Upolu Samoans,xd880,samo1305,Samoan,Austronesian,MammalRichness,3.0,,2013,,
SCCS186,Yahgan,xd1383,yama1264,Yámana,,MammalRichness,3.0,,2013,,
WNAI2,Tlingit,xd1082,tlin1245,Tlingit,Athabaskan-Eyak-Tlingit,MammalRichness,3.0,,2013,,
Na24,Tasiilaq,xd1040,tunu1234,Tunumiisiut,Eskimo-Aleut,MammalRichness,3.158829455,,2013,,
Af14,Sherbro,xd191,sher1258,Sherbro,Atlantic-Congo,MammalRichness,3.186534438,,2013,,
B102,Lardil,xd951,lard1243,Lardil,Tangkic,MammalRichness,4.0,,2013,,
Cd11,Guanche,xd509,guan1277,Guanche,Afro-Asiatic,MammalRichness,4.0,,2013,,
Ih12,Eromangans,xd865,siee1239,Sie,Austronesian,MammalRichness,4.0,,2013,,
Ih14,Mbau Fijians,xd867,bauu1243,Bau (Fijian),Austronesian,MammalRichness,4.0,,2013,,
Ih7,Lifu,xd873,dehu1237,Dehu,Austronesian,MammalRichness,4.0,,2013,,
Ih8,Vanua Levu,xd874,nort2843,Northeast Vanua Levu,Austronesian,MammalRichness,4.0,,2013,,
SCCS102,Mbau Fijians,xd867,bauu1243,Bau (Fijian),Austronesian,MammalRichness,4.0,,2013,,
WNAI4,Haida (Southern),xd1438,sout2956,Southern Haida,Haida,MammalRichness,4.0,,2013,,
B389,Tareumiut,xd1036,nort2944,North Slope Inupiatun,Eskimo-Aleut,MammalRichness,4.345606271,,2013,,
Sg5,Alacaluf,xd1387,qawa1238,Qawasqar,Kawesqar,MammalRichness,4.963484194,,2013,,
B290,Haida,xd1068,nort2938,Northern Haida,Haida,MammalRichness,5.0,,2013,,
B82,Kaurareg,xd937,kala1377,Kala Lagaw Ya,Pama-Nyungan,MammalRichness,5.0,,2013,,
Na25,Kalaallit (West Greenland),xd1041,kala1399,Kalaallisut,Eskimo-Aleut,MammalRichness,5.0,,2013,,
Nb1,Haida,xd1068,nort2938,Northern Haida,Haida,MammalRichness,5.0,,2013,,
SCCS131,Haida,xd1068,nort2938,Northern Haida,Haida,MammalRichness,5.0,,2013,,
WNAI3,Haida (Northern),xd1068,nort2938,Northern Haida,Haida,MammalRichness,5.0,,2013,,
B55,Yahgan,xd1383,yama1264,Yámana,,MammalRichness,5.687119234,,2013,,
Sg1,Yahgan,xd1383,yama1264,Yámana,,MammalRichness,5.687119234,,2013,,
