society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
If4,Ifaluk,xd835,nucl1479,Nuclear Woleaian,Austronesian,VascularPlantsRichness,2.754014328,,2007,,
Cc7,Barabish,xd504,hass1238,Hassaniyya,Afro-Asiatic,VascularPlantsRichness,284.422,,2007,,
B386,Baffin Island Inuit,xd1030,baff1240,North Baffin Inuktitut,Eskimo-Aleut,VascularPlantsRichness,291.444,,2007,,
Na13,Baffin Island Inuit,xd1030,baff1240,North Baffin Inuktitut,Eskimo-Aleut,VascularPlantsRichness,291.444,,2007,,
Cc20,Zenaga,xd499,zena1248,Zenaga,Afro-Asiatic,VascularPlantsRichness,330.429,,2007,,
B385,Kalaallit (West Greenland),xd1041,kala1399,Kalaallisut,Eskimo-Aleut,VascularPlantsRichness,332.838,,2007,,
Na25,Kalaallit (West Greenland),xd1041,kala1399,Kalaallisut,Eskimo-Aleut,VascularPlantsRichness,344.473,,2007,,
Cc18,Kunta,xd496,hass1238,Hassaniyya,Afro-Asiatic,VascularPlantsRichness,388.651,,2007,,
Cc5,Kel Antessar,xd502,timb1263,Timbuktu,Afro-Asiatic,VascularPlantsRichness,390.593,,2007,,
Na22,Iglulik Inuit,xd1025,west2618,Western Canadian Inuktitut,Eskimo-Aleut,VascularPlantsRichness,395.336,,2007,,
B26,Yukaghir,xd634,nort2745,Northern Yukaghir,Yukaghir,VascularPlantsRichness,399.229,,2007,,
Ec6,Yukaghir,xd634,nort2745,Northern Yukaghir,Yukaghir,VascularPlantsRichness,399.229,,2007,,
Cc1,Regeibat,xd487,hass1238,Hassaniyya,Afro-Asiatic,VascularPlantsRichness,409.201,,2007,,
Cc9,Tuareg Ahaggar,xd506,hogg1238,Hoggar,Afro-Asiatic,VascularPlantsRichness,420.201,,2007,,
SCCS41,Tuareg Ahaggar,xd506,hogg1238,Hoggar,Afro-Asiatic,VascularPlantsRichness,420.201,,2007,,
Cd9,Tekna,xd527,hass1238,Hassaniyya,Afro-Asiatic,VascularPlantsRichness,435.176,,2007,,
Na44,Taqagmiut,xd1061,queb1248,Nunavik,Eskimo-Aleut,VascularPlantsRichness,440.598,,2007,,
