society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Ah25,Tigon,xd315,tigo1236,Tigon Mbembe,Atlantic-Congo,AnnualNetPrimaryProductionVariance,0.0,,,,
Ca5,Bisharin,xd453,bish1251,Bisharin,Afro-Asiatic,AnnualNetPrimaryProductionVariance,0.0,,,,
Cc1,Regeibat,xd487,hass1238,Hassaniyya,Afro-Asiatic,AnnualNetPrimaryProductionVariance,0.0,,,,
Cc11,Azjer,xd489,ghat1242,Ghat,Afro-Asiatic,AnnualNetPrimaryProductionVariance,0.0,,,,
Cc14,Daza,xd492,daza1242,Dazaga,Saharan,AnnualNetPrimaryProductionVariance,0.0,,,,
Cc17,Delim,xd495,hass1238,Hassaniyya,Afro-Asiatic,AnnualNetPrimaryProductionVariance,0.0,,,,
Cc18,Kunta,xd496,hass1238,Hassaniyya,Afro-Asiatic,AnnualNetPrimaryProductionVariance,0.0,,,,
Cc3,Siwans,xd500,siwi1239,Siwi,Afro-Asiatic,AnnualNetPrimaryProductionVariance,0.0,,,,
Cc5,Kel Antessar,xd502,timb1263,Timbuktu,Afro-Asiatic,AnnualNetPrimaryProductionVariance,0.0,,,,
Cc7,Barabish,xd504,hass1238,Hassaniyya,Afro-Asiatic,AnnualNetPrimaryProductionVariance,0.0,,,,
Cc9,Tuareg Ahaggar,xd506,hogg1238,Hoggar,Afro-Asiatic,AnnualNetPrimaryProductionVariance,0.0,,,,
Cd1,Barabra,xd507,kenu1236,Kenuzi-Dongola,Nubian,AnnualNetPrimaryProductionVariance,0.0,,,,
Cd12,Algerians,xd510,algi1247,Algiers,Afro-Asiatic,AnnualNetPrimaryProductionVariance,0.0,,,,
Cd18,Saadi,xd516,said1239,Saidi Arabic,Afro-Asiatic,AnnualNetPrimaryProductionVariance,0.0,,,,
Cd20,Sanusi,xd519,liby1240,Libyan Arabic,Afro-Asiatic,AnnualNetPrimaryProductionVariance,0.0,,,,
SCCS41,Tuareg Ahaggar,xd506,hogg1238,Hoggar,Afro-Asiatic,AnnualNetPrimaryProductionVariance,0.0,,,,
Ee2,Burusho,xd654,buru1296,Burushaski,,AnnualNetPrimaryProductionVariance,0.001646803,,,,
SCCS1,Nama,xd3,nama1265,Nama,Khoe-Kwadi,AnnualNetPrimaryProductionVariance,0.008530471,,,,
