society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Ae43,Sanga,xd164,bomw1238,Bomwali,Atlantic-Congo,NetPrimaryProductionConstancy,0.027373885,,,,
B60,Aka,xd923,bamb1264,Bambenzele,Atlantic-Congo,NetPrimaryProductionConstancy,0.027968232,,,,
Ae28,Ngala,xd147,ling1263,Lingala,Atlantic-Congo,NetPrimaryProductionConstancy,0.030838822,,,,
Ai28,Popoi,xd357,popo1291,Popoi,Central Sudanic,NetPrimaryProductionConstancy,0.045961679,,,,
Ae4,Nkundo,xd160,nkun1238,Nkundo,Atlantic-Congo,NetPrimaryProductionConstancy,0.053376635,,,,
Si2,Trumai,xd1399,trum1247,Trumai,,NetPrimaryProductionConstancy,0.055743548,,,,
B61,Bayaka,xd924,beka1240,Beka,Atlantic-Congo,NetPrimaryProductionConstancy,0.05719411,,,,
SCCS13,Mbuti,xd5,bila1255,Bila,Atlantic-Congo,NetPrimaryProductionConstancy,0.058573091,,,,
Ai5,Mamvu,xd379,mamv1243,Mamvu,Central Sudanic,NetPrimaryProductionConstancy,0.059274777,,,,
Ai26,Ngbandi,xd355,nort2774,Northern Ngbandi,Atlantic-Congo,NetPrimaryProductionConstancy,0.059674327,,,,
Ae20,Ekonda,xd139,ekon1238,Ekonda Mongo,Atlantic-Congo,NetPrimaryProductionConstancy,0.06048845,,,,
SCCS14,Nkundo,xd160,nkun1238,Nkundo,Atlantic-Congo,NetPrimaryProductionConstancy,0.060642131,,,,
Si4,Nambikwara,xd1401,sout2994,Southern Nambikuára,Nambiquaran,NetPrimaryProductionConstancy,0.060808752,,,,
Ae39,Ngombe,xd159,binj1250,Binja,Atlantic-Congo,NetPrimaryProductionConstancy,0.062497404,,,,
Aa5,Mbuti,xd5,bila1255,Bila,Atlantic-Congo,NetPrimaryProductionConstancy,0.063998639,,,,
Ae31,Budu,xd151,budu1250,Budu,Atlantic-Congo,NetPrimaryProductionConstancy,0.063998639,,,,
Si10,Kuikuru,xd1398,kuik1246,Kuikúro-Kalapálo,Cariban,NetPrimaryProductionConstancy,0.065404535,,,,
Ai23,Bwaka,xd352,ngba1284,Ngbaka Ma'bo,Atlantic-Congo,NetPrimaryProductionConstancy,0.066035413,,,,
B64,Efe,xd927,efee1239,Efe,Central Sudanic,NetPrimaryProductionConstancy,0.067785341,,,,
Ae33,Ndaka Babali,xd153,bali1274,Bali (Democratic Republic of Congo),Atlantic-Congo,NetPrimaryProductionConstancy,0.068055612,,,,
B43,Sirionó,xd1362,siri1273,Sirionó,Tupian,NetPrimaryProductionConstancy,0.068446534,,,,
B45,Nambikwara,xd1401,sout2994,Southern Nambikuára,Nambiquaran,NetPrimaryProductionConstancy,0.068535938,,,,
WNAI32,Tututni,xd1092,tutu1242,Tututni,Athabaskan-Eyak-Tlingit,NetPrimaryProductionConstancy,0.070216896,,,,
WNAI33,Chetco,xd1422,tolo1259,Tolowa-Chetco,Athabaskan-Eyak-Tlingit,NetPrimaryProductionConstancy,0.070216896,,,,
SCCS175,Trumai,xd1399,trum1247,Trumai,,NetPrimaryProductionConstancy,0.071454719,,,,
B166,Sinkyone,xd1100,wail1244,Wailaki,Athabaskan-Eyak-Tlingit,NetPrimaryProductionConstancy,0.071472701,,,,
WNAI40,Sinkyone,xd1100,wail1244,Wailaki,Athabaskan-Eyak-Tlingit,NetPrimaryProductionConstancy,0.071472701,,,,
WNAI42,Nongatl,xd1434,wail1244,Wailaki,Athabaskan-Eyak-Tlingit,NetPrimaryProductionConstancy,0.071472701,,,,
B44,Yuqui,xd918,yuqu1240,Yuqui,Tupian,NetPrimaryProductionConstancy,0.072300051,,,,
B65,Mbuti,xd5,bila1255,Bila,Atlantic-Congo,NetPrimaryProductionConstancy,0.073087945,,,,
B184,Wiyot,xd1097,wiyo1248,Wiyot,Algic,NetPrimaryProductionConstancy,0.074077703,,,,
B177,Coast Yuki,xd1113,yuki1243,Yuki,Yuki-Wappo,NetPrimaryProductionConstancy,0.074783925,,,,
Nb36,Wiyot,xd1097,wiyo1248,Wiyot,Algic,NetPrimaryProductionConstancy,0.074783925,,,,
Nb39,Sinkyone,xd1100,wail1244,Wailaki,Athabaskan-Eyak-Tlingit,NetPrimaryProductionConstancy,0.074783925,,,,
Ai30,Lese,xd360,lese1243,Lese,Central Sudanic,NetPrimaryProductionConstancy,0.075119308,,,,
Ae27,Lokele,xd146,kele1255,Kele-Foma,Atlantic-Congo,NetPrimaryProductionConstancy,0.075690952,,,,
SCCS184,Mapuche,xd1384,mapu1245,Mapudungun,Araucanian,NetPrimaryProductionConstancy,0.075857835,,,,
B180,Hupa,xd1096,hupa1239,Hupa,Athabaskan-Eyak-Tlingit,NetPrimaryProductionConstancy,0.077086072,,,,
Nb4,Yurok,xd1101,yuro1248,Yurok,Algic,NetPrimaryProductionConstancy,0.077086072,,,,
WNAI39,Wiyot,xd1097,wiyo1248,Wiyot,Algic,NetPrimaryProductionConstancy,0.077086072,,,,
Nb18,Quileute,xd1077,quil1240,Quileute,Chimakuan,NetPrimaryProductionConstancy,0.077484741,,,,
WNAI17,Cowichan,xd1086,cowi1241,Cowichan,Salishan,NetPrimaryProductionConstancy,0.078150098,,,,
WNAI21,Lummi,xd1074,lumm1243,Lummi,Salishan,NetPrimaryProductionConstancy,0.078150098,,,,
B169,Mattole-Bear River,xd1099,matt1238,Mattole,Athabaskan-Eyak-Tlingit,NetPrimaryProductionConstancy,0.079071214,,,,
WNAI41,Mattole-Bear River,xd1099,matt1238,Mattole,Athabaskan-Eyak-Tlingit,NetPrimaryProductionConstancy,0.079071214,,,,
Si7,Paresi,xd1404,pare1272,Parecís,Arawakan,NetPrimaryProductionConstancy,0.079144774,,,,
Ai25,Mbandja,xd354,mban1263,Mbandja,Atlantic-Congo,NetPrimaryProductionConstancy,0.079882441,,,,
Ai11,Mangbetu,xd339,nucl1420,Nuclear Mangbetu,Central Sudanic,NetPrimaryProductionConstancy,0.080215176,,,,
SCCS133,Twana,xd1079,twan1247,Twana,Salishan,NetPrimaryProductionConstancy,0.081693232,,,,
Ej12,Lawa,xd719,west2396,Western Lawa,Austroasiatic,NetPrimaryProductionConstancy,0.082751747,,,,
Nb16,Klallam,xd1075,clal1241,Clallam,Salishan,NetPrimaryProductionConstancy,0.084352609,,,,
Nb2,Twana,xd1079,twan1247,Twana,Salishan,NetPrimaryProductionConstancy,0.084352609,,,,
B186,Yurok,xd1101,yuro1248,Yurok,Algic,NetPrimaryProductionConstancy,0.084506721,,,,
SCCS134,Yurok,xd1101,yuro1248,Yurok,Algic,NetPrimaryProductionConstancy,0.084506721,,,,
WNAI36,Yurok,xd1101,yuro1248,Yurok,Algic,NetPrimaryProductionConstancy,0.084506721,,,,
Nc21,Lake Miwok,xd1120,lake1258,Lake Miwok,Miwok-Costanoan,NetPrimaryProductionConstancy,0.084998519,,,,
B280,Cowichan,xd1086,cowi1241,Cowichan,Salishan,NetPrimaryProductionConstancy,0.085398339,,,,
Ae30,Bira,xd150,bila1255,Bila,Atlantic-Congo,NetPrimaryProductionConstancy,0.086085843,,,,
Se9,Shipibo-Conibo,xd1373,ship1254,Shipibo-Conibo,Pano-Tacanan,NetPrimaryProductionConstancy,0.087037108,,,,
Sj9,Kayapo,xd1417,kaya1330,Kayapó,Nuclear-Macro-Je,NetPrimaryProductionConstancy,0.087130628,,,,
Nb21,Coos,xd1081,coos1249,Hanis,Coosan,NetPrimaryProductionConstancy,0.087542455,,,,
Ai27,Abarambo,xd356,bara1361,Barambu,Atlantic-Congo,NetPrimaryProductionConstancy,0.087995473,,,,
