society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Ah25,Tigon,xd315,tigo1236,Tigon Mbembe,Atlantic-Congo,NetPrimaryProductionContingency,-2.22e-16,,,,
Ca5,Bisharin,xd453,bish1251,Bisharin,Afro-Asiatic,NetPrimaryProductionContingency,-2.22e-16,,,,
Cc1,Regeibat,xd487,hass1238,Hassaniyya,Afro-Asiatic,NetPrimaryProductionContingency,-2.22e-16,,,,
Cc11,Azjer,xd489,ghat1242,Ghat,Afro-Asiatic,NetPrimaryProductionContingency,-2.22e-16,,,,
Cc14,Daza,xd492,daza1242,Dazaga,Saharan,NetPrimaryProductionContingency,-2.22e-16,,,,
Cc17,Delim,xd495,hass1238,Hassaniyya,Afro-Asiatic,NetPrimaryProductionContingency,-2.22e-16,,,,
Cc18,Kunta,xd496,hass1238,Hassaniyya,Afro-Asiatic,NetPrimaryProductionContingency,-2.22e-16,,,,
Cc3,Siwans,xd500,siwi1239,Siwi,Afro-Asiatic,NetPrimaryProductionContingency,-2.22e-16,,,,
Cc5,Kel Antessar,xd502,timb1263,Timbuktu,Afro-Asiatic,NetPrimaryProductionContingency,-2.22e-16,,,,
Cc7,Barabish,xd504,hass1238,Hassaniyya,Afro-Asiatic,NetPrimaryProductionContingency,-2.22e-16,,,,
Cc9,Tuareg Ahaggar,xd506,hogg1238,Hoggar,Afro-Asiatic,NetPrimaryProductionContingency,-2.22e-16,,,,
Cd1,Barabra,xd507,kenu1236,Kenuzi-Dongola,Nubian,NetPrimaryProductionContingency,-2.22e-16,,,,
Cd12,Algerians,xd510,algi1247,Algiers,Afro-Asiatic,NetPrimaryProductionContingency,-2.22e-16,,,,
Cd18,Saadi,xd516,said1239,Saidi Arabic,Afro-Asiatic,NetPrimaryProductionContingency,-2.22e-16,,,,
Cd20,Sanusi,xd519,liby1240,Libyan Arabic,Afro-Asiatic,NetPrimaryProductionContingency,-2.22e-16,,,,
SCCS41,Tuareg Ahaggar,xd506,hogg1238,Hoggar,Afro-Asiatic,NetPrimaryProductionContingency,-2.22e-16,,,,
If3,Majuro,xd834,rata1243,Ratak,Austronesian,NetPrimaryProductionContingency,0.030519593,,,,"Note, estimate is from a point 90 km away (coordinates: 6.37,171.51); data were not available at society's reported location"
SCCS1,Nama,xd3,nama1265,Nama,Khoe-Kwadi,NetPrimaryProductionContingency,0.037295753,,,,
SCCS36,Somali,xd426,nort3051,Northern Somali,Afro-Asiatic,NetPrimaryProductionContingency,0.041971328,,,,
Ca2,Somali,xd426,nort3051,Northern Somali,Afro-Asiatic,NetPrimaryProductionContingency,0.04299266,,,,
Cd9,Tekna,xd527,hass1238,Hassaniyya,Afro-Asiatic,NetPrimaryProductionContingency,0.062851032,,,,
Ca10,Esa,xd416,nort3051,Northern Somali,Afro-Asiatic,NetPrimaryProductionContingency,0.064910445,,,,
If14,Makin,xd829,bana1287,Banaban,Austronesian,NetPrimaryProductionContingency,0.065459696,,,,
SCCS107,Makin,xd829,bana1287,Banaban,Austronesian,NetPrimaryProductionContingency,0.065459696,,,,
If12,Bikinians,xd827,rali1241,Rälik,Austronesian,NetPrimaryProductionContingency,0.068618728,,,,
Eh7,Antandroy,xd693,tand1256,Tandroy Malagasy,Austronesian,NetPrimaryProductionContingency,0.071781183,,,,
SCCS159,Wayuu,xd1331,wayu1243,Wayuu,Arawakan,NetPrimaryProductionContingency,0.074965427,,,,
Sb6,Wayuu,xd1331,wayu1243,Wayuu,Arawakan,NetPrimaryProductionContingency,0.074965427,,,,
Ea6,Basseri,xd605,bass1257,Basseri,Indo-European,NetPrimaryProductionContingency,0.079069335,,,,
Sb8,Taíno,xd1333,tain1254,Taino,Arawakan,NetPrimaryProductionContingency,0.080604238,,,,
Aj5,Turkana,xd410,turk1308,Turkana,Nilotic,NetPrimaryProductionContingency,0.080702866,,,,
B79,/Xam,xd8,xamm1241,/Xam,Tuu,NetPrimaryProductionContingency,0.083048108,,,,
B194,Coahuilteco,xd1221,coah1252,Coahuilteco,,NetPrimaryProductionContingency,0.083173381,,,,
If7,Gilbert Onotoa,xd838,nuii1237,Nui,Austronesian,NetPrimaryProductionContingency,0.085890564,,,,
Ad3,Chagga,xd98,moch1256,Mochi,Atlantic-Congo,NetPrimaryProductionContingency,0.088751562,,,,
Cj9,Yemeni,xd595,sana1295,Sanaani Arabic,Afro-Asiatic,NetPrimaryProductionContingency,0.089276217,,,,
SCCS171,Inca,xd1374,cusc1236,Cusco Quechua,Quechuan,NetPrimaryProductionContingency,0.092969489,,,,
Ii2,Tikopia,xd881,tiko1237,Tikopia,Austronesian,NetPrimaryProductionContingency,0.093345722,,,,
SCCS100,Tikopia,xd881,tiko1237,Tikopia,Austronesian,NetPrimaryProductionContingency,0.093345722,,,,
Ig13,Aua,xd845,wuvu1239,Wuvulu-Aua,Austronesian,NetPrimaryProductionContingency,0.095112097,,,,
Sf6,Muisca,xd1379,chib1270,Chibcha,Chibchan,NetPrimaryProductionContingency,0.095330385,,,,
B190,Guaicura,xd985,guai1237,Guaicurian,,NetPrimaryProductionContingency,0.095931422,,,,
Ij5,Raroians,xd894,tuam1242,Tuamotuan,Austronesian,NetPrimaryProductionContingency,0.096023161,,,,
Ij6,Hawaiians,xd895,hawa1245,Hawaiian,Austronesian,NetPrimaryProductionContingency,0.096262016,,,,
Aa3,Nama,xd3,nama1265,Nama,Khoe-Kwadi,NetPrimaryProductionContingency,0.096876009,,,,
Aa8,/Xam,xd8,xamm1241,/Xam,Tuu,NetPrimaryProductionContingency,0.096955976,,,,
Aj18,Bodi,xd393,meen1242,Me'en,Surmic,NetPrimaryProductionContingency,0.097878881,,,,
Ij4,Manihikians,xd893,raka1237,Rakahanga-Manihiki,Austronesian,NetPrimaryProductionContingency,0.098704024,,,,
Ad28,Zigula,xd96,zigu1242,Zigula,Atlantic-Congo,NetPrimaryProductionContingency,0.098924378,,,,
Ca32,Nara,xd440,nara1262,Nara,,NetPrimaryProductionContingency,0.100686422,,,,
If13,Nauruans,xd828,naur1243,Nauru,Austronesian,NetPrimaryProductionContingency,0.102854502,,,,
Aj23,Plains Suk,xd399,east2420,East Pokot,Nilotic,NetPrimaryProductionContingency,0.103368616,,,,
Aj26,Hill Suk,xd402,west2492,West Pokot,Nilotic,NetPrimaryProductionContingency,0.103368616,,,,
WNAI155,Lipan Apache,xd1275,lipa1241,Lipan Apache,Athabaskan-Eyak-Tlingit,NetPrimaryProductionContingency,0.10534337,,,,
SCCS86,Badjau Tawi-Tawi,xd736,sout2918,Southern Sama,Austronesian,NetPrimaryProductionContingency,0.105701408,,,,
B77,/'Auni-Khomani,xd935,nuuu1241,N/u,Tuu,NetPrimaryProductionContingency,0.106219394,,,,
SCCS160,Haitians,xd1334,hait1244,Haitian,Indo-European,NetPrimaryProductionContingency,0.10745104,,,,
SCCS12,Ganda,xd124,gand1255,Ganda,Atlantic-Congo,NetPrimaryProductionContingency,0.108584791,,,,
B104,Karajarri,xd953,kara1476,Karadjeri,Pama-Nyungan,NetPrimaryProductionContingency,0.109041046,,,,
