society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Ae43,Sanga,xd164,bomw1238,Bomwali,Atlantic-Congo,NetPrimaryProductionPredictability,0.28394071,,,,
B60,Aka,xd923,bamb1264,Bambenzele,Atlantic-Congo,NetPrimaryProductionPredictability,0.284875392,,,,
Ae28,Ngala,xd147,ling1263,Lingala,Atlantic-Congo,NetPrimaryProductionPredictability,0.305063361,,,,
Ai28,Popoi,xd357,popo1291,Popoi,Central Sudanic,NetPrimaryProductionPredictability,0.306905304,,,,
Ai5,Mamvu,xd379,mamv1243,Mamvu,Central Sudanic,NetPrimaryProductionPredictability,0.308093488,,,,
Ae4,Nkundo,xd160,nkun1238,Nkundo,Atlantic-Congo,NetPrimaryProductionPredictability,0.309590012,,,,
Ae39,Ngombe,xd159,binj1250,Binja,Atlantic-Congo,NetPrimaryProductionPredictability,0.310391274,,,,
Ai30,Lese,xd360,lese1243,Lese,Central Sudanic,NetPrimaryProductionPredictability,0.310778196,,,,
SCCS14,Nkundo,xd160,nkun1238,Nkundo,Atlantic-Congo,NetPrimaryProductionPredictability,0.311818878,,,,
SCCS13,Mbuti,xd5,bila1255,Bila,Atlantic-Congo,NetPrimaryProductionPredictability,0.312753559,,,,
B64,Efe,xd927,efee1239,Efe,Central Sudanic,NetPrimaryProductionPredictability,0.315958607,,,,
B65,Mbuti,xd5,bila1255,Bila,Atlantic-Congo,NetPrimaryProductionPredictability,0.322046281,,,,
Ai11,Mangbetu,xd339,nucl1420,Nuclear Mangbetu,Central Sudanic,NetPrimaryProductionPredictability,0.322327203,,,,
Ai23,Bwaka,xd352,ngba1284,Ngbaka Ma'bo,Atlantic-Congo,NetPrimaryProductionPredictability,0.322714125,,,,
Ai26,Ngbandi,xd355,nort2774,Northern Ngbandi,Atlantic-Congo,NetPrimaryProductionPredictability,0.322997958,,,,
Ae27,Lokele,xd146,kele1255,Kele-Foma,Atlantic-Congo,NetPrimaryProductionPredictability,0.323367884,,,,
Ae20,Ekonda,xd139,ekon1238,Ekonda Mongo,Atlantic-Congo,NetPrimaryProductionPredictability,0.325771671,,,,
Aa5,Mbuti,xd5,bila1255,Bila,Atlantic-Congo,NetPrimaryProductionPredictability,0.326292011,,,,
Ae31,Budu,xd151,budu1250,Budu,Atlantic-Congo,NetPrimaryProductionPredictability,0.326292011,,,,
B61,Bayaka,xd924,beka1240,Beka,Atlantic-Congo,NetPrimaryProductionPredictability,0.326695929,,,,
Ai3,Azande,xd359,zand1248,Zande,Atlantic-Congo,NetPrimaryProductionPredictability,0.331030664,,,,
